dataset,source_file,seed,rep,query_count,filtered_source_row_count,source_row_count,unique_od_count,min_copies_per_source,max_copies_per_source,mean_copies_per_source,jitter_sec,departure_window_sec,od_center_radius_km,min_departure,max_departure,departure_span_sec
BJRealRep1-0,data/BJ_Real_query_sets_scalability_original/BJRealRep1-0.txt,0,1,10000,950,800,788,12,13,12.5,0,3600,3.0,0,3600,3600
BJRealRep2-0,data/BJ_Real_query_sets_scalability_original/BJRealRep1-0.txt,0,2,20000,1905,1400,1380,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
BJRealRep3-0,data/BJ_Real_query_sets_scalability_original/BJRealRep1-0.txt,0,3,30000,2591,2400,2351,12,13,12.5,0,3600,4.5,0,3600,3600
BJRealRep5-0,data/BJ_Real_query_sets_scalability_original/BJRealRep1-0.txt,0,5,50000,4546,4000,3888,12,13,12.5,0,3600,5.5,0,3600,3600
BJRealRep7-0,data/BJ_Real_query_sets_scalability_original/BJRealRep1-0.txt,0,7,70000,5598,4500,4387,15,16,15.555555555555555,0,3600,6.0,0,3600,3600
BJRealRep10-0,data/BJ_Real_query_sets_scalability_original/BJRealRep1-0.txt,0,10,100000,10000,7000,6842,14,15,14.285714285714286,0,3600,8.0,0,3600,3600
BJRealRep1-1,data/BJ_Real_query_sets_scalability_original/BJRealRep1-1.txt,1,1,10000,930,800,786,12,13,12.5,0,3600,3.0,0,3600,3600
BJRealRep2-1,data/BJ_Real_query_sets_scalability_original/BJRealRep1-1.txt,1,2,20000,1863,1400,1376,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
BJRealRep3-1,data/BJ_Real_query_sets_scalability_original/BJRealRep1-1.txt,1,3,30000,2538,2400,2351,12,13,12.5,0,3600,4.5,0,3600,3600
BJRealRep5-1,data/BJ_Real_query_sets_scalability_original/BJRealRep1-1.txt,1,5,50000,4522,4000,3898,12,13,12.5,0,3600,5.5,0,3600,3600
BJRealRep7-1,data/BJ_Real_query_sets_scalability_original/BJRealRep1-1.txt,1,7,70000,5617,4500,4401,15,16,15.555555555555555,0,3600,6.0,0,3600,3600
BJRealRep10-1,data/BJ_Real_query_sets_scalability_original/BJRealRep1-1.txt,1,10,100000,10000,7000,6881,14,15,14.285714285714286,0,3600,8.0,0,3600,3600
BJRealRep1-2,data/BJ_Real_query_sets_scalability_original/BJRealRep1-2.txt,2,1,10000,942,800,786,12,13,12.5,0,3600,3.0,0,3600,3600
BJRealRep2-2,data/BJ_Real_query_sets_scalability_original/BJRealRep1-2.txt,2,2,20000,1941,1400,1381,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
BJRealRep3-2,data/BJ_Real_query_sets_scalability_original/BJRealRep1-2.txt,2,3,30000,2649,2400,2359,12,13,12.5,0,3600,4.5,0,3600,3600
BJRealRep5-2,data/BJ_Real_query_sets_scalability_original/BJRealRep1-2.txt,2,5,50000,4601,4000,3914,12,13,12.5,0,3600,5.5,0,3600,3600
BJRealRep7-2,data/BJ_Real_query_sets_scalability_original/BJRealRep1-2.txt,2,7,70000,5645,4500,4415,15,16,15.555555555555555,0,3600,6.0,0,3600,3600
BJRealRep10-2,data/BJ_Real_query_sets_scalability_original/BJRealRep1-2.txt,2,10,100000,10000,7000,6869,14,15,14.285714285714286,0,3600,8.0,0,3600,3600
BJRealRep1-3,data/BJ_Real_query_sets_scalability_original/BJRealRep1-3.txt,3,1,10000,976,800,780,12,13,12.5,0,3600,3.0,0,3600,3600
BJRealRep2-3,data/BJ_Real_query_sets_scalability_original/BJRealRep1-3.txt,3,2,20000,1950,1400,1377,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
BJRealRep3-3,data/BJ_Real_query_sets_scalability_original/BJRealRep1-3.txt,3,3,30000,2646,2400,2352,12,13,12.5,0,3600,4.5,0,3600,3600
BJRealRep5-3,data/BJ_Real_query_sets_scalability_original/BJRealRep1-3.txt,3,5,50000,4562,4000,3900,12,13,12.5,0,3600,5.5,0,3600,3600
BJRealRep7-3,data/BJ_Real_query_sets_scalability_original/BJRealRep1-3.txt,3,7,70000,5668,4500,4397,15,16,15.555555555555555,0,3600,6.0,0,3600,3600
BJRealRep10-3,data/BJ_Real_query_sets_scalability_original/BJRealRep1-3.txt,3,10,100000,10000,7000,6855,14,15,14.285714285714286,0,3600,8.0,0,3600,3600
BJRealRep1-4,data/BJ_Real_query_sets_scalability_original/BJRealRep1-4.txt,4,1,10000,933,800,783,12,13,12.5,0,3600,3.0,0,3600,3600
BJRealRep2-4,data/BJ_Real_query_sets_scalability_original/BJRealRep1-4.txt,4,2,20000,1891,1400,1372,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
BJRealRep3-4,data/BJ_Real_query_sets_scalability_original/BJRealRep1-4.txt,4,3,30000,2576,2400,2348,12,13,12.5,0,3600,4.5,0,3600,3600
BJRealRep5-4,data/BJ_Real_query_sets_scalability_original/BJRealRep1-4.txt,4,5,50000,4522,4000,3924,12,13,12.5,0,3600,5.5,0,3600,3600
BJRealRep7-4,data/BJ_Real_query_sets_scalability_original/BJRealRep1-4.txt,4,7,70000,5597,4500,4414,15,16,15.555555555555555,0,3600,6.0,0,3600,3600
BJRealRep10-4,data/BJ_Real_query_sets_scalability_original/BJRealRep1-4.txt,4,10,100000,10000,7000,6857,14,15,14.285714285714286,0,3600,8.0,0,3600,3600
