dataset,source_file,rep,seed,base_query_count,query_count,min_departure,max_departure,departure_span_sec
BJRealRep1-0,data/BJ_Real_query_sets/BJRealRep1-0.txt,1,0,10000,10000,61,532946,532885
BJRealRep2-0,data/BJ_Real_query_sets/BJRealRep1-0.txt,2,0,10000,20000,61,532946,532885
BJRealRep3-0,data/BJ_Real_query_sets/BJRealRep1-0.txt,3,0,10000,30000,61,532946,532885
BJRealRep5-0,data/BJ_Real_query_sets/BJRealRep1-0.txt,5,0,10000,50000,61,532946,532885
BJRealRep7-0,data/BJ_Real_query_sets/BJRealRep1-0.txt,7,0,10000,70000,61,532946,532885
BJRealRep10-0,data/BJ_Real_query_sets/BJRealRep1-0.txt,10,0,10000,100000,61,532946,532885
BJRealRep1-1,data/BJ_Real_query_sets/BJRealRep1-1.txt,1,1,10000,10000,73,532939,532866
BJRealRep2-1,data/BJ_Real_query_sets/BJRealRep1-1.txt,2,1,10000,20000,73,532939,532866
BJRealRep3-1,data/BJ_Real_query_sets/BJRealRep1-1.txt,3,1,10000,30000,73,532939,532866
BJRealRep5-1,data/BJ_Real_query_sets/BJRealRep1-1.txt,5,1,10000,50000,73,532939,532866
BJRealRep7-1,data/BJ_Real_query_sets/BJRealRep1-1.txt,7,1,10000,70000,73,532939,532866
BJRealRep10-1,data/BJ_Real_query_sets/BJRealRep1-1.txt,10,1,10000,100000,73,532939,532866
BJRealRep1-2,data/BJ_Real_query_sets/BJRealRep1-2.txt,1,2,10000,10000,84,532886,532802
BJRealRep2-2,data/BJ_Real_query_sets/BJRealRep1-2.txt,2,2,10000,20000,84,532886,532802
BJRealRep3-2,data/BJ_Real_query_sets/BJRealRep1-2.txt,3,2,10000,30000,84,532886,532802
BJRealRep5-2,data/BJ_Real_query_sets/BJRealRep1-2.txt,5,2,10000,50000,84,532886,532802
BJRealRep7-2,data/BJ_Real_query_sets/BJRealRep1-2.txt,7,2,10000,70000,84,532886,532802
BJRealRep10-2,data/BJ_Real_query_sets/BJRealRep1-2.txt,10,2,10000,100000,84,532886,532802
BJRealRep1-3,data/BJ_Real_query_sets/BJRealRep1-3.txt,1,3,10000,10000,80,532865,532785
BJRealRep2-3,data/BJ_Real_query_sets/BJRealRep1-3.txt,2,3,10000,20000,80,532865,532785
BJRealRep3-3,data/BJ_Real_query_sets/BJRealRep1-3.txt,3,3,10000,30000,80,532865,532785
BJRealRep5-3,data/BJ_Real_query_sets/BJRealRep1-3.txt,5,3,10000,50000,80,532865,532785
BJRealRep7-3,data/BJ_Real_query_sets/BJRealRep1-3.txt,7,3,10000,70000,80,532865,532785
BJRealRep10-3,data/BJ_Real_query_sets/BJRealRep1-3.txt,10,3,10000,100000,80,532865,532785
BJRealRep1-4,data/BJ_Real_query_sets/BJRealRep1-4.txt,1,4,10000,10000,0,532977,532977
BJRealRep2-4,data/BJ_Real_query_sets/BJRealRep1-4.txt,2,4,10000,20000,0,532977,532977
BJRealRep3-4,data/BJ_Real_query_sets/BJRealRep1-4.txt,3,4,10000,30000,0,532977,532977
BJRealRep5-4,data/BJ_Real_query_sets/BJRealRep1-4.txt,5,4,10000,50000,0,532977,532977
BJRealRep7-4,data/BJ_Real_query_sets/BJRealRep1-4.txt,7,4,10000,70000,0,532977,532977
BJRealRep10-4,data/BJ_Real_query_sets/BJRealRep1-4.txt,10,4,10000,100000,0,532977,532977
