distance_km,set_id,seed_origin,seed_destination,seed_shortest_distance_km,seed_haversine_distance_km,base_query_count
5,0,144511,243910,4.9524084165128786,2.51690852442646,100
5,1,78262,88964,4.58183666906847,3.0245711717083847,100
5,2,156300,167588,5.7400100442272715,2.776637552625944,100
5,3,167655,149137,5.624630368452099,3.035230231358824,100
5,4,275505,98575,4.769104142485732,3.9474253482903054,100
5,5,263845,108091,5.130110873082453,1.0438480273749549,100
5,6,295733,4682,4.453679384403829,3.079626320077682,100
5,7,232104,124970,4.668997121927492,3.117796146025037,100
5,8,182797,200038,4.571860012782892,2.3098892027797904,100
5,9,283292,286492,4.8776509931950685,1.6987416888338718,100
5,10,240123,241177,4.492841687671066,1.7001155890378077,100
5,11,288925,286196,4.538723051923085,2.747840741671953,100
5,12,241835,22662,5.219570588042717,1.5719938639298436,100
5,13,229338,239793,5.188560429976404,2.875834128451303,100
5,14,194156,194712,4.359765187935306,1.7971240616024162,100
5,15,178739,205177,5.4410177122825125,3.6720244625095404,100
5,16,164843,292904,4.409593491780649,2.420787717776243,100
5,17,233765,235174,5.545061502122661,1.9534437833113734,100
5,18,81618,187080,5.518157124393637,1.4467713901667543,100
5,19,195303,240932,5.566362074213188,2.5030273104448497,100
5,20,126250,153551,4.620444619203943,1.422035133799041,100
5,21,10523,194906,4.881041985542121,3.4119484995836413,100
5,22,229486,229417,5.30788375967076,1.662294803412913,100
5,23,286011,292827,4.943953155230504,2.9999839810668973,100
5,24,105622,275344,4.282576638268927,1.179982079509596,100
5,25,268449,276602,5.203668810608302,0.5185475335747649,100
5,26,11054,183713,5.639760674687957,1.59478666639016,100
5,27,221600,224718,5.552129136317693,1.665937153156047,100
5,28,287404,186763,4.572589089356862,3.3437685396511507,100
5,29,187416,198074,4.73460552964068,2.1399850674051155,100
10,0,292607,266844,9.991726223710176,6.068939897118287,100
10,1,174911,196199,9.305585129276034,3.788126673048221,100
10,2,285376,240546,9.08405047909078,5.77353063538901,100
10,3,294488,166297,10.796811878653376,2.8388651468337764,100
10,4,223362,265448,11.470238273569704,3.2170106418001296,100
10,5,227936,242073,10.124717890390292,6.824372533971094,100
10,6,239755,265787,9.534350893805346,5.649234873484777,100
10,7,252522,292860,9.600087899780188,7.70212761515444,100
10,8,234506,143303,9.536215058940428,5.341303756816397,100
10,9,177920,182915,10.676755999462674,3.5232951444191887,100
10,10,10539,209656,10.594058196628534,4.795077865820722,100
10,11,121930,229645,10.970037457418014,8.622644333370776,100
10,12,174364,194507,10.267552929509131,2.6542875694613612,100
10,13,277895,268216,9.64473350410396,2.636699816682338,100
10,14,293261,289635,10.263091588853452,5.088380443721654,100
10,15,200466,286711,10.35224331456714,4.727331080377308,100
10,16,148533,149936,10.96278383663517,4.325886303355929,100
10,17,193537,246623,8.65183985836648,5.064219351071377,100
10,18,124906,224051,9.125720026250455,4.837050211011962,100
10,19,206105,227854,10.088355873171903,3.864803289754847,100
10,20,221088,154443,8.819110537242846,3.4275440636556973,100
10,21,11331,212389,9.54697041186786,3.7110022022232507,100
10,22,235118,256707,10.295820263150242,6.793668594231087,100
10,23,178979,212438,9.021955318962616,2.1417317336529678,100
10,24,214922,203939,10.512935175302015,6.239116465699657,100
10,25,276045,152530,9.952062749940968,6.328946504198447,100
10,26,293363,186586,10.487883800393181,5.551352793136523,100
10,27,293141,242702,10.790922565901075,7.1784372087431025,100
10,28,233623,184472,10.450989490775957,5.432080112189843,100
10,29,90194,95769,11.32833868352982,6.7461690040505315,100
40,0,15092,232807,34.49113144679742,9.791424739762862,100
40,1,188071,166149,40.86356399193252,19.996976083228954,100
40,2,267163,268653,45.88383458213704,14.95988376261955,100
40,3,217232,149138,39.30032777811491,5.556581055531091,100
40,4,16730,228620,39.20214591952978,11.867632391769678,100
40,5,294161,100167,36.911575079954765,20.089299923241775,100
40,6,14876,225974,39.543326149304974,12.48952934449586,100
40,7,225740,190137,42.076769952164696,14.732731355044981,100
40,8,178597,289015,37.87266858921527,6.338365306812902,100
40,9,166566,205846,40.859665417207964,16.871906936845217,100
40,10,102055,150794,43.47004072170712,19.47948969596476,100
40,11,243134,183325,38.81091045321975,10.019851325149586,100
40,12,290724,148520,42.989050469965306,9.15594958077818,100
40,13,240570,181619,37.04174044644802,7.977096685152506,100
40,14,227254,207048,43.01535481647944,11.095074223573462,100
40,15,107986,241623,37.95846922762495,12.032178446968349,100
40,16,229706,216462,44.82814606571779,23.914882354286966,100
40,17,152384,70850,44.2539866104256,24.77882967220282,100
40,18,160418,193894,36.575422150731015,5.161032084058385,100
40,19,274952,167003,40.89848278300486,27.30169029553857,100
40,20,289413,181560,43.70736322910723,11.140648684885434,100
40,21,238118,177760,45.75490955242865,18.96851778172047,100
40,22,252667,16678,35.94449517115291,12.282000503477946,100
40,23,143802,185035,42.4258716199384,21.234041638770695,100
40,24,95580,82283,41.043690530488576,20.25833018508616,100
40,25,284161,180454,36.730131872470466,13.793424447882785,100
40,26,227999,215413,36.58809547028023,14.409694027854483,100
40,27,192761,276184,34.10535424085397,15.797084329022722,100
40,28,229136,9620,44.45755925087808,16.6677145145632,100
40,29,252468,209880,45.652376289174356,13.54907803837664,100
