dataset,source_file,seed,rep,query_count,filtered_source_row_count,source_row_count,unique_od_count,min_copies_per_source,max_copies_per_source,mean_copies_per_source,jitter_sec,departure_window_sec,od_center_radius_km,min_departure,max_departure,departure_span_sec
MHRealRep1-0,data/MH_Real_query_sets/MHRealRep1-0.txt,0,1,10000,2551,800,797,12,13,12.5,0,3600,2.0,0,3600,3600
MHRealRep2-0,data/MH_Real_query_sets/MHRealRep1-0.txt,0,2,20000,2551,1400,1391,14,15,14.285714285714286,0,3600,2.0,0,3600,3600
MHRealRep3-0,data/MH_Real_query_sets/MHRealRep1-0.txt,0,3,30000,2551,1800,1782,16,17,16.666666666666668,0,3600,2.0,0,3600,3600
MHRealRep5-0,data/MH_Real_query_sets/MHRealRep1-0.txt,0,5,50000,4854,3000,2978,16,17,16.666666666666668,0,3600,3.0,0,3600,3600
MHRealRep7-0,data/MH_Real_query_sets/MHRealRep1-0.txt,0,7,70000,4854,4500,4453,15,16,15.555555555555555,0,3600,3.0,0,3600,3600
MHRealRep10-0,data/MH_Real_query_sets/MHRealRep1-0.txt,0,10,100000,7194,7000,6937,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
MHRealRep1-1,data/MH_Real_query_sets/MHRealRep1-1.txt,1,1,10000,2506,800,797,12,13,12.5,0,3600,2.0,0,3600,3600
MHRealRep2-1,data/MH_Real_query_sets/MHRealRep1-1.txt,1,2,20000,2506,1400,1393,14,15,14.285714285714286,0,3600,2.0,0,3600,3600
MHRealRep3-1,data/MH_Real_query_sets/MHRealRep1-1.txt,1,3,30000,2506,1800,1781,16,17,16.666666666666668,0,3600,2.0,0,3600,3600
MHRealRep5-1,data/MH_Real_query_sets/MHRealRep1-1.txt,1,5,50000,4788,3000,2982,16,17,16.666666666666668,0,3600,3.0,0,3600,3600
MHRealRep7-1,data/MH_Real_query_sets/MHRealRep1-1.txt,1,7,70000,4788,4500,4463,15,16,15.555555555555555,0,3600,3.0,0,3600,3600
MHRealRep10-1,data/MH_Real_query_sets/MHRealRep1-1.txt,1,10,100000,7261,7000,6948,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
MHRealRep1-2,data/MH_Real_query_sets/MHRealRep1-2.txt,2,1,10000,2565,800,798,12,13,12.5,0,3600,2.0,0,3600,3600
MHRealRep2-2,data/MH_Real_query_sets/MHRealRep1-2.txt,2,2,20000,2565,1400,1390,14,15,14.285714285714286,0,3600,2.0,0,3600,3600
MHRealRep3-2,data/MH_Real_query_sets/MHRealRep1-2.txt,2,3,30000,2565,1800,1782,16,17,16.666666666666668,0,3600,2.0,0,3600,3600
MHRealRep5-2,data/MH_Real_query_sets/MHRealRep1-2.txt,2,5,50000,4841,3000,2982,16,17,16.666666666666668,0,3600,3.0,0,3600,3600
MHRealRep7-2,data/MH_Real_query_sets/MHRealRep1-2.txt,2,7,70000,4841,4500,4456,15,16,15.555555555555555,0,3600,3.0,0,3600,3600
MHRealRep10-2,data/MH_Real_query_sets/MHRealRep1-2.txt,2,10,100000,7259,7000,6949,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
MHRealRep1-3,data/MH_Real_query_sets/MHRealRep1-3.txt,3,1,10000,2550,800,797,12,13,12.5,0,3600,2.0,0,3600,3600
MHRealRep2-3,data/MH_Real_query_sets/MHRealRep1-3.txt,3,2,20000,2550,1400,1392,14,15,14.285714285714286,0,3600,2.0,0,3600,3600
MHRealRep3-3,data/MH_Real_query_sets/MHRealRep1-3.txt,3,3,30000,2550,1800,1778,16,17,16.666666666666668,0,3600,2.0,0,3600,3600
MHRealRep5-3,data/MH_Real_query_sets/MHRealRep1-3.txt,3,5,50000,4886,3000,2982,16,17,16.666666666666668,0,3600,3.0,0,3600,3600
MHRealRep7-3,data/MH_Real_query_sets/MHRealRep1-3.txt,3,7,70000,4886,4500,4455,15,16,15.555555555555555,0,3600,3.0,0,3600,3600
MHRealRep10-3,data/MH_Real_query_sets/MHRealRep1-3.txt,3,10,100000,7265,7000,6942,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
MHRealRep1-4,data/MH_Real_query_sets/MHRealRep1-4.txt,4,1,10000,2555,800,796,12,13,12.5,0,3600,2.0,0,3600,3600
MHRealRep2-4,data/MH_Real_query_sets/MHRealRep1-4.txt,4,2,20000,2555,1400,1391,14,15,14.285714285714286,0,3600,2.0,0,3600,3600
MHRealRep3-4,data/MH_Real_query_sets/MHRealRep1-4.txt,4,3,30000,2555,1800,1782,16,17,16.666666666666668,0,3600,2.0,0,3600,3600
MHRealRep5-4,data/MH_Real_query_sets/MHRealRep1-4.txt,4,5,50000,4810,3000,2983,16,17,16.666666666666668,0,3600,3.0,0,3600,3600
MHRealRep7-4,data/MH_Real_query_sets/MHRealRep1-4.txt,4,7,70000,4810,4500,4456,15,16,15.555555555555555,0,3600,3.0,0,3600,3600
MHRealRep10-4,data/MH_Real_query_sets/MHRealRep1-4.txt,4,10,100000,7183,7000,6939,14,15,14.285714285714286,0,3600,4.0,0,3600,3600
