run_id,dataset,hop,rep,seed,query_count,iteration,selection_method,removal_mode,selection_fraction,gamma,reroute_method,impact_weight,random_seed,selected_count,selected_fraction,batch_count,total_before,total_after,reduction,initial_routes_sec,evaluate_before_sec,tdg_prepare_sec,important_nodes_sec,select_sec,normalize_sec,batch_sec,reroute_sec,evaluate_after_sec,method_total_sec,cumulative_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-0_random10_normal_td_dijkstra_iter0,Hop10Rep1-0,10,1,0,1024,0,random,none,10,-1,normal_td_dijkstra,0,0,102,0.099609375,0,27030182,26312050,718132,0.113581,0.490042,0,0,0.00017,0,0,0.020215,0.47713,1.101138,1.101138,1269288.68627,1318447.57227,14795,14795
Hop10Rep1-0_random10_normal_td_dijkstra_iter1,Hop10Rep1-0,10,1,0,1024,1,random,none,10,-1,normal_td_dijkstra,0,1,102,0.099609375,0,26312050,25767676,544374,0,0.471427,0,0,0.000157,0,0,0.023418,0.463971,0.958973,2.060111,1298106.22549,1304837.27441,14948,14948
Hop10Rep1-0_random10_normal_td_dijkstra_iter2,Hop10Rep1-0,10,1,0,1024,2,random,none,10,-1,normal_td_dijkstra,0,2,102,0.099609375,0,25767676,25061973,705703,0,0.460799,0,0,0.00016,0,0,0.020024,0.462382,0.943365,3.003476,1239021.44118,1265301.32422,15020,15020
Hop10Rep1-0_random10_normal_td_dijkstra_iter3,Hop10Rep1-0,10,1,0,1024,3,random,none,10,-1,normal_td_dijkstra,0,3,102,0.099609375,0,25061973,24847208,214765,0,0.487943,0,0,0.000161,0,0,0.022637,0.456065,0.966806,3.970282,1206337.72549,1266371.33203,15106,15106
Hop10Rep1-0_random10_normal_td_dijkstra_iter4,Hop10Rep1-0,10,1,0,1024,4,random,none,10,-1,normal_td_dijkstra,0,4,102,0.099609375,0,24847208,24635278,211930,0,0.449175,0,0,0.000156,0,0,0.02138,0.439112,0.909823,4.880105,1321223.38235,1248072.33203,15218,15218
Hop10Rep1-0_random10_tdg_impact_w30_iter0,Hop10Rep1-0,10,1,0,1024,0,random,none,10,-1,tdg_impact_reroute,30,0,102,0.099609375,9,27030182,26250102,780080,0.113581,0.480189,0.131068,0,0.000156,0.002973,0.011573,0.057828,0.452102,1.24947,1.24947,1269288.68627,1318447.57227,14795,14795
Hop10Rep1-0_random10_tdg_impact_w30_iter1,Hop10Rep1-0,10,1,0,1024,1,random,none,10,-1,tdg_impact_reroute,30,1,102,0.099609375,8,26250102,25855082,395020,0,0.460776,0.134169,0,0.000157,0.003004,0.011097,0.059943,0.431152,1.100298,2.349768,1275015.70588,1267662.95312,15298,15298
Hop10Rep1-0_random10_tdg_impact_w30_iter2,Hop10Rep1-0,10,1,0,1024,2,random,none,10,-1,tdg_impact_reroute,30,2,102,0.099609375,8,25855082,25363677,491405,0,0.428894,0.131777,0,0.000163,0.003253,0.010155,0.065921,0.419306,1.059469,3.409237,1157527.82353,1171980.07617,15923,15923
Hop10Rep1-0_random10_tdg_impact_w30_iter3,Hop10Rep1-0,10,1,0,1024,3,random,none,10,-1,tdg_impact_reroute,30,3,102,0.099609375,8,25363677,25004516,359161,0,0.417163,0.134,0,0.000158,0.003239,0.009014,0.064092,0.407211,1.034877,4.444114,1065076.73529,1135811.26465,16109,16109
Hop10Rep1-0_random10_tdg_impact_w30_iter4,Hop10Rep1-0,10,1,0,1024,4,random,none,10,-1,tdg_impact_reroute,30,4,102,0.099609375,10,25004516,24851291,153225,0,0.404733,0.132735,0,0.000156,0.003334,0.013686,0.073136,0.410731,1.038511,5.482625,1172641.89216,1096883.69336,16315,16315
