run_id,dataset,hop,rep,seed,query_count,iteration,selection_method,removal_mode,selection_fraction,gamma,reroute_method,impact_weight,random_seed,selected_count,selected_fraction,batch_count,total_before,total_after,reduction,initial_routes_sec,evaluate_before_sec,tdg_prepare_sec,important_nodes_sec,select_sec,normalize_sec,batch_sec,reroute_sec,evaluate_after_sec,method_total_sec,cumulative_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter0,Hop10Rep1-0,10,1,0,1024,0,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,0,97,0.0947265625,0,27030182,26151125,879057,0.102097,0.479307,0.135286,0,1.089993,0,0,0.019102,0.466129,2.291914,2.291914,1882761.16495,1318447.57227,14795,14795
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter1,Hop10Rep1-0,10,1,0,1024,1,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,1,106,0.103515625,0,26151125,25484216,666909,0,0.469322,0.136636,0,1.102388,0,0,0.023372,0.449417,2.181135,4.473049,2142687.5566,1297607.59766,15331,15331
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter2,Hop10Rep1-0,10,1,0,1024,2,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,2,103,0.1005859375,0,25484216,25115513,368703,0,0.44728,0.13142,0,1.046931,0,0,0.020628,0.439162,2.085421,6.55847,2016457.8835,1274341.10156,15525,15525
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter3,Hop10Rep1-0,10,1,0,1024,3,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,3,85,0.0830078125,0,25115513,25162648,-47135,0,0.428259,0.136217,0,0.84363,0,0,0.01793,0.449788,1.875824,8.434294,1853021.25882,1199074.63281,15758,15758
Hop10Rep1-0_tdg_excess_gamma25_normal_td_dijkstra_iter4,Hop10Rep1-0,10,1,0,1024,4,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,4,81,0.0791015625,0,25162648,25026013,136635,0,0.432337,0.135091,0,0.807091,0,0,0.019326,0.435815,1.82966,10.263954,1900101.12346,1189407.88184,15789,15789
Hop10Rep1-0_tdg_excess_gamma50_normal_td_dijkstra_iter0,Hop10Rep1-0,10,1,0,1024,0,tdg_excess,anchor_important,-1,50,normal_td_dijkstra,0,0,240,0.234375,0,27030182,25244905,1785277,0.102097,0.478153,0.132591,0,2.387094,0,0,0.04583,0.454575,3.60034,3.60034,1803403.275,1318447.57227,14795,14795
Hop10Rep1-0_tdg_excess_gamma50_normal_td_dijkstra_iter1,Hop10Rep1-0,10,1,0,1024,1,tdg_excess,anchor_important,-1,50,normal_td_dijkstra,0,1,177,0.1728515625,0,25244905,24758115,486790,0,0.465029,0.135912,0,1.750139,0,0,0.029855,0.431252,2.812187,6.412527,2005078.35593,1291539.15137,15717,15717
Hop10Rep1-0_tdg_excess_gamma50_normal_td_dijkstra_iter2,Hop10Rep1-0,10,1,0,1024,2,tdg_excess,anchor_important,-1,50,normal_td_dijkstra,0,2,132,0.12890625,0,24758115,24699470,58645,0,0.427108,0.130593,0,1.226071,0,0,0.025435,0.446003,2.25521,8.667737,1778086.4697,1211754.84961,15815,15815
Hop10Rep1-0_tdg_excess_gamma50_normal_td_dijkstra_iter3,Hop10Rep1-0,10,1,0,1024,3,tdg_excess,anchor_important,-1,50,normal_td_dijkstra,0,3,155,0.1513671875,0,24699470,24606814,92656,0,0.429549,0.131,0,1.419542,0,0,0.027191,0.429892,2.437174,11.104911,1725404.80645,1204907.44434,15766,15766
Hop10Rep1-0_tdg_excess_gamma50_normal_td_dijkstra_iter4,Hop10Rep1-0,10,1,0,1024,4,tdg_excess,anchor_important,-1,50,normal_td_dijkstra,0,4,166,0.162109375,0,24606814,24744966,-138152,0,0.434151,0.135762,0,1.487202,0,0,0.029596,0.453156,2.539867,13.644778,1694966.35542,1196000.2373,15893,15893
Hop10Rep1-1_tdg_excess_gamma25_normal_td_dijkstra_iter0,Hop10Rep1-1,10,1,1,1024,0,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,0,67,0.0654296875,0,16105706,14835372,1270334,0.143321,0.26757,0.084133,0,0.447818,0,0,0.013419,0.237967,1.194228,1.194228,1258521.61194,673635.726562,9824,9824
Hop10Rep1-1_tdg_excess_gamma25_normal_td_dijkstra_iter1,Hop10Rep1-1,10,1,1,1024,1,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,1,63,0.0615234375,0,14835372,13936566,898806,0,0.234917,0.08264,0,0.36531,0,0,0.013593,0.249391,0.945851,2.140079,1161223.55556,602463.125,9797,9797
Hop10Rep1-1_tdg_excess_gamma25_normal_td_dijkstra_iter2,Hop10Rep1-1,10,1,1,1024,2,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,2,70,0.068359375,0,13936566,13162184,774382,0,0.221663,0.077652,0,0.367235,0,0,0.015838,0.203963,0.886351,3.02643,882871.428571,482476.217773,9727,9727
Hop10Rep1-1_tdg_excess_gamma25_normal_td_dijkstra_iter3,Hop10Rep1-1,10,1,1,1024,3,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,3,68,0.06640625,0,13162184,12709409,452775,0,0.202677,0.072648,0,0.319066,0,0,0.012828,0.228893,0.836112,3.862542,554269.235294,369698.078125,9563,9563
Hop10Rep1-1_tdg_excess_gamma25_normal_td_dijkstra_iter4,Hop10Rep1-1,10,1,1,1024,4,tdg_excess,anchor_important,-1,25,normal_td_dijkstra,0,4,59,0.0576171875,0,12709409,12372363,337046,0,0.197195,0.073153,0,0.297394,0,0,0.011483,0.189272,0.768497,4.631039,502332.847458,351896.102539,9425,9425
