dataset,hop,rep,seed,query_count,random_fraction,random_seed,selected_count,total_before,random_unselected_after_remove,random_reduction,random_select_sec,evaluate_remaining_sec
Hop10Rep1-0,10,1,0,1024,10,0,102,27030182,23769028,3261154,0.000226,0.453744
Hop10Rep1-0,10,1,0,1024,30,0,307,27030182,16957014,10073168,0.000164,0.297292
Hop10Rep1-1,10,1,1,1024,10,0,102,16105706,13564615,2541091,0.00016,0.24623
Hop10Rep1-1,10,1,1,1024,30,0,307,16105706,8861238,7244468,0.000163,0.161949
Hop10Rep1-2,10,1,2,1024,10,0,102,29257903,24880035,4377868,0.00016,0.548384
Hop10Rep1-2,10,1,2,1024,30,0,307,29257903,16464877,12793026,0.000166,0.31325
Hop10Rep1-3,10,1,3,1024,10,0,102,15903591,13844592,2058999,0.000163,0.259209
Hop10Rep1-3,10,1,3,1024,30,0,307,15903591,9589044,6314547,0.000164,0.156888
Hop10Rep1-4,10,1,4,1024,10,0,102,22706139,19510208,3195931,0.000157,0.30587
Hop10Rep1-4,10,1,4,1024,30,0,307,22706139,12970404,9735735,0.000159,0.180476
Hop10Rep1-5,10,1,5,1024,10,0,102,18340040,15417305,2922735,0.000163,0.307503
Hop10Rep1-5,10,1,5,1024,30,0,307,18340040,10256845,8083195,0.000164,0.187771
Hop10Rep1-6,10,1,6,1024,10,0,102,14713545,12403273,2310272,0.000162,0.215187
Hop10Rep1-6,10,1,6,1024,30,0,307,14713545,7805708,6907837,0.000159,0.137814
Hop10Rep1-7,10,1,7,1024,10,0,102,29930878,25495079,4435799,0.000161,0.500535
Hop10Rep1-7,10,1,7,1024,30,0,307,29930878,17728309,12202569,0.00017,0.336426
Hop10Rep1-8,10,1,8,1024,10,0,102,23006298,19329204,3677094,0.000169,0.351117
Hop10Rep1-8,10,1,8,1024,30,0,307,23006298,12724341,10281957,0.000166,0.221722
Hop10Rep1-9,10,1,9,1024,10,0,102,28055401,24175510,3879891,0.000159,0.50894
Hop10Rep1-9,10,1,9,1024,30,0,307,28055401,16916377,11139024,0.000158,0.297939
Hop10Rep1-10,10,1,10,1024,10,0,102,17077467,14616238,2461229,0.000158,0.283024
Hop10Rep1-10,10,1,10,1024,30,0,307,17077467,10023690,7053777,0.000163,0.177693
Hop10Rep1-11,10,1,11,1024,10,0,102,23999457,20256905,3742552,0.000159,0.412097
Hop10Rep1-11,10,1,11,1024,30,0,307,23999457,12932868,11066589,0.000161,0.259591
Hop10Rep1-12,10,1,12,1024,10,0,102,18957851,15792709,3165142,0.000156,0.316801
Hop10Rep1-12,10,1,12,1024,30,0,307,18957851,10035025,8922826,0.000166,0.182979
Hop10Rep1-13,10,1,13,1024,10,0,102,14008382,11991552,2016830,0.000158,0.211839
Hop10Rep1-13,10,1,13,1024,30,0,307,14008382,7762664,6245718,0.000159,0.128059
Hop10Rep1-14,10,1,14,1024,10,0,102,19923136,17001887,2921249,0.000162,0.314571
Hop10Rep1-14,10,1,14,1024,30,0,307,19923136,11411116,8512020,0.000163,0.205872
Hop10Rep1-15,10,1,15,1024,10,0,102,19115140,16098297,3016843,0.000162,0.318194
Hop10Rep1-15,10,1,15,1024,30,0,307,19115140,10741667,8373473,0.000161,0.190064
Hop10Rep1-16,10,1,16,1024,10,0,102,15597648,13285804,2311844,0.000158,0.242859
Hop10Rep1-16,10,1,16,1024,30,0,307,15597648,9173904,6423744,0.000166,0.155036
Hop10Rep1-17,10,1,17,1024,10,0,102,24413857,21575529,2838328,0.000158,0.432354
Hop10Rep1-17,10,1,17,1024,30,0,307,24413857,15755807,8658050,0.000161,0.281389
Hop10Rep1-18,10,1,18,1024,10,0,102,25970157,22619392,3350765,0.000161,0.529174
Hop10Rep1-18,10,1,18,1024,30,0,307,25970157,16347710,9622447,0.000164,0.34156
Hop10Rep1-19,10,1,19,1024,10,0,102,18471203,15479380,2991823,0.000158,0.254997
Hop10Rep1-19,10,1,19,1024,30,0,307,18471203,10789765,7681438,0.000182,0.159664
Hop10Rep2-0,10,2,0,2048,10,0,204,66208060,57773821,8434239,0.000306,1.335253
Hop10Rep2-0,10,2,0,2048,30,0,614,66208060,41798566,24409494,0.000315,0.918743
Hop10Rep2-1,10,2,1,2048,10,0,204,48635891,41422947,7212944,0.000307,0.919802
Hop10Rep2-1,10,2,1,2048,30,0,614,48635891,28539924,20095967,0.000311,0.58649
Hop10Rep2-2,10,2,2,2048,10,0,204,76065730,67114008,8951722,0.000308,1.89123
Hop10Rep2-2,10,2,2,2048,30,0,614,76065730,48579612,27486118,0.000318,1.260548
Hop10Rep2-3,10,2,3,2048,10,0,204,40823735,35700038,5123697,0.000307,1.047846
Hop10Rep2-3,10,2,3,2048,30,0,614,40823735,25781083,15042652,0.00031,0.672306
Hop10Rep2-4,10,2,4,2048,10,0,204,56344634,49855818,6488816,0.000307,1.002782
Hop10Rep2-4,10,2,4,2048,30,0,614,56344634,35848318,20496316,0.000314,0.663874
Hop10Rep2-5,10,2,5,2048,10,0,204,50861935,43904747,6957188,0.000305,1.101059
Hop10Rep2-5,10,2,5,2048,30,0,614,50861935,31036483,19825452,0.000313,0.685637
Hop10Rep2-6,10,2,6,2048,10,0,204,47806481,41216060,6590421,0.000305,0.852906
Hop10Rep2-6,10,2,6,2048,30,0,614,47806481,27606578,20199903,0.00031,0.518201
Hop10Rep2-7,10,2,7,2048,10,0,204,74090852,65256894,8833958,0.000305,1.923885
Hop10Rep2-7,10,2,7,2048,30,0,614,74090852,47280318,26810534,0.000314,1.198363
Hop10Rep2-8,10,2,8,2048,10,0,204,71464715,61875368,9589347,0.000309,1.157608
Hop10Rep2-8,10,2,8,2048,30,0,614,71464715,42180919,29283796,0.000313,0.727034
Hop10Rep2-9,10,2,9,2048,10,0,204,68615912,60472656,8143256,0.000303,1.936855
Hop10Rep2-9,10,2,9,2048,30,0,614,68615912,44181006,24434906,0.000327,1.186888
Hop10Rep2-10,10,2,10,2048,10,0,204,51539662,44184698,7354964,0.000312,0.923609
Hop10Rep2-10,10,2,10,2048,30,0,614,51539662,29908627,21631035,0.000312,0.602641
Hop10Rep2-11,10,2,11,2048,10,0,204,64393471,56767587,7625884,0.000308,1.5581
Hop10Rep2-11,10,2,11,2048,30,0,614,64393471,40418520,23974951,0.000315,0.97735
Hop10Rep2-12,10,2,12,2048,10,0,204,56746946,49272102,7474844,0.000305,1.257108
Hop10Rep2-12,10,2,12,2048,30,0,614,56746946,33509779,23237167,0.00031,0.784351
Hop10Rep2-13,10,2,13,2048,10,0,204,41686472,35956117,5730355,0.000305,0.781798
Hop10Rep2-13,10,2,13,2048,30,0,614,41686472,24807013,16879459,0.000316,0.502163
Hop10Rep2-14,10,2,14,2048,10,0,204,55704154,48512636,7191518,0.000305,1.200359
Hop10Rep2-14,10,2,14,2048,30,0,614,55704154,33473015,22231139,0.000313,0.720249
Hop10Rep2-15,10,2,15,2048,10,0,204,55647682,48254747,7392935,0.000306,1.269604
Hop10Rep2-15,10,2,15,2048,30,0,614,55647682,33543565,22104117,0.000313,0.762356
Hop10Rep2-16,10,2,16,2048,10,0,204,45665750,39426870,6238880,0.000314,0.80485
Hop10Rep2-16,10,2,16,2048,30,0,614,45665750,26718070,18947680,0.000315,0.506736
Hop10Rep2-17,10,2,17,2048,10,0,204,59422284,52073616,7348668,0.000306,1.29755
Hop10Rep2-17,10,2,17,2048,30,0,614,59422284,37816130,21606154,0.000314,0.871071
Hop10Rep2-18,10,2,18,2048,10,0,204,60658557,53591984,7066573,0.00031,1.65758
Hop10Rep2-18,10,2,18,2048,30,0,614,60658557,39694342,20964215,0.000324,1.137188
Hop10Rep2-19,10,2,19,2048,10,0,204,54909824,46646296,8263528,0.000305,0.977549
Hop10Rep2-19,10,2,19,2048,30,0,614,54909824,31065044,23844780,0.000314,0.565083
Hop10Rep4-0,10,4,0,4096,10,0,409,162588845,142643582,19945263,0.000612,3.40421
Hop10Rep4-0,10,4,0,4096,30,0,1228,162588845,103208945,59379900,0.000615,2.505869
Hop10Rep4-1,10,4,1,4096,10,0,409,122760369,108097189,14663180,0.000604,2.71285
Hop10Rep4-1,10,4,1,4096,30,0,1228,122760369,77494346,45266023,0.000611,1.89466
Hop10Rep4-2,10,4,2,4096,10,0,409,164917060,147606587,17310473,0.000605,4.331057
Hop10Rep4-2,10,4,2,4096,30,0,1228,164917060,112425779,52491281,0.000628,3.2451
Hop10Rep4-3,10,4,3,4096,10,0,409,93285194,83082794,10202400,0.000608,2.663076
