run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,total_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-0_random30_normal_td_dijkstra,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,normal_td_dijkstra,-1,27030182,24728907,0,0,0.010075,0.362282,0.372357,1306707.7329,1318447.57227,14795,14795
Hop10Rep1-0_random30_tdg_impact_w0,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,0,27030182,24728907,0.11091,0.003442,0.070532,0.35162,0.536504,1306707.7329,1318447.57227,14795,14795
Hop10Rep1-0_random30_tdg_impact_w100,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,100,27030182,25396621,0.11091,0.003442,0.041427,0.319292,0.475071,1306707.7329,1318447.57227,14795,14795
Hop10Rep1-0_random30_tdg_impact_w15,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,15,27030182,24641458,0.11091,0.003442,0.077407,0.342731,0.53449,1306707.7329,1318447.57227,14795,14795
Hop10Rep1-0_random30_tdg_impact_w30,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,30,27030182,24764626,0.11091,0.003442,0.054464,0.332609,0.501425,1306707.7329,1318447.57227,14795,14795
Hop10Rep1-0_random30_tdg_impact_w5,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,5,27030182,24610151,0.11091,0.003442,0.075611,0.369505,0.559468,1306707.7329,1318447.57227,14795,14795
Hop10Rep1-0_random30_tdg_impact_w50,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,50,27030182,24883411,0.11091,0.003442,0.049087,0.322476,0.485915,1306707.7329,1318447.57227,14795,14795
Hop10Rep1-1_random30_normal_td_dijkstra,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,normal_td_dijkstra,-1,16105706,13453574,0,0,0.005878,0.170723,0.176601,685824.13355,673635.726562,9824,9824
Hop10Rep1-1_random30_tdg_impact_w0,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,0,16105706,13453574,0.069652,0.00226,0.030732,0.167566,0.27021,685824.13355,673635.726562,9824,9824
Hop10Rep1-1_random30_tdg_impact_w100,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,100,16105706,13690279,0.069652,0.00226,0.021608,0.156422,0.249942,685824.13355,673635.726562,9824,9824
Hop10Rep1-1_random30_tdg_impact_w15,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,15,16105706,13054745,0.069652,0.00226,0.025551,0.157775,0.255238,685824.13355,673635.726562,9824,9824
Hop10Rep1-1_random30_tdg_impact_w30,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,30,16105706,13115846,0.069652,0.00226,0.023874,0.156794,0.25258,685824.13355,673635.726562,9824,9824
Hop10Rep1-1_random30_tdg_impact_w5,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,5,16105706,13171431,0.069652,0.00226,0.034137,0.16082,0.266869,685824.13355,673635.726562,9824,9824
Hop10Rep1-1_random30_tdg_impact_w50,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,50,16105706,13384714,0.069652,0.00226,0.021603,0.157522,0.251037,685824.13355,673635.726562,9824,9824
Hop10Rep1-2_random30_normal_td_dijkstra,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,normal_td_dijkstra,-1,29257903,26900299,0,0,0.006489,0.397751,0.40424,1690132.90554,1758360.03809,11883,11883
Hop10Rep1-2_random30_tdg_impact_w0,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,0,29257903,26900299,0.102912,0.002972,0.054144,0.386262,0.54629,1690132.90554,1758360.03809,11883,11883
Hop10Rep1-2_random30_tdg_impact_w100,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,100,29257903,26732339,0.102912,0.002972,0.042292,0.362192,0.510368,1690132.90554,1758360.03809,11883,11883
Hop10Rep1-2_random30_tdg_impact_w15,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,15,29257903,26653359,0.102912,0.002972,0.052015,0.382894,0.540793,1690132.90554,1758360.03809,11883,11883
Hop10Rep1-2_random30_tdg_impact_w30,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,30,29257903,26661653,0.102912,0.002972,0.052465,0.383724,0.542073,1690132.90554,1758360.03809,11883,11883
Hop10Rep1-2_random30_tdg_impact_w5,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,5,29257903,26749799,0.102912,0.002972,0.055426,0.379998,0.541308,1690132.90554,1758360.03809,11883,11883
Hop10Rep1-2_random30_tdg_impact_w50,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,50,29257903,26847941,0.102912,0.002972,0.047505,0.376936,0.530325,1690132.90554,1758360.03809,11883,11883
Hop10Rep1-3_random30_normal_td_dijkstra,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,normal_td_dijkstra,-1,15903591,13083136,0,0,0.005671,0.157376,0.163047,761982.368078,782224.974609,7242,7242
Hop10Rep1-3_random30_tdg_impact_w0,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,0,15903591,13083136,0.057204,0.001702,0.024982,0.154516,0.238404,761982.368078,782224.974609,7242,7242
Hop10Rep1-3_random30_tdg_impact_w100,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,100,15903591,13296994,0.057204,0.001702,0.017971,0.157586,0.234463,761982.368078,782224.974609,7242,7242
Hop10Rep1-3_random30_tdg_impact_w15,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,15,15903591,12695560,0.057204,0.001702,0.021692,0.144934,0.225532,761982.368078,782224.974609,7242,7242
Hop10Rep1-3_random30_tdg_impact_w30,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,30,15903591,12691098,0.057204,0.001702,0.019953,0.147176,0.226035,761982.368078,782224.974609,7242,7242
Hop10Rep1-3_random30_tdg_impact_w5,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,5,15903591,12817101,0.057204,0.001702,0.023602,0.148641,0.231149,761982.368078,782224.974609,7242,7242
Hop10Rep1-3_random30_tdg_impact_w50,Hop10Rep1-3,10,1,3,1024,random,30,0,307,45,tdg_impact_reroute,50,15903591,12865910,0.057204,0.001702,0.019228,0.153062,0.231196,761982.368078,782224.974609,7242,7242
