dataset,run_id,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec,best_gain_vs_normal,best_pct_vs_normal_after
Hop10Rep1-0,Hop10Rep1-0_random30_tdg_impact_w5,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,5,27030182,24610151,0.11091,0.003442,0.075611,0.369505,0.559468,1306707.7329,1318447.57227,14795,14795,24728907,0.010075,0.362282,0.372357,2301275,2420031,118756,0.4802314958764656,5.160443667097587,0.43934591339414586,True,0.18711099999999997,0.065536,118756,0.4802314958764656
Hop10Rep1-1,Hop10Rep1-1_random30_tdg_impact_w15,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,15,16105706,13054745,0.069652,0.00226,0.025551,0.157775,0.255238,685824.13355,673635.726562,9824,9824,13453574,0.005878,0.170723,0.176601,2652132,3050961,398829,2.9644836383253996,15.038052404631443,2.476321124947891,True,0.07863700000000001,0.019673,398829,2.9644836383253996
Hop10Rep1-10,Hop10Rep1-10_random30_tdg_impact_w15,10,1,10,1024,random,30,0,307,45,tdg_impact_reroute,15,17077467,14541030,0.08268,0.002638,0.034027,0.177711,0.297056,758005.579805,766727.28125,11845,11845,14592158,0.005752,0.197133,0.202885,2485309,2536437,51128,0.3503799780676717,2.057208982866919,0.29938866226472577,True,0.09417099999999998,0.028275,51128,0.3503799780676717
Hop10Rep1-11,Hop10Rep1-11_random30_tdg_impact_w100,10,1,11,1024,random,30,0,307,45,tdg_impact_reroute,100,23999457,18401443,0.083652,0.002584,0.020904,0.231141,0.338281,1222912.92182,1234836.51465,10523,10523,20140367,0.006156,0.262359,0.268515,3859090,5598014,1738924,8.634023401857572,45.060467623196146,7.245680600190246,True,0.069766,0.014747999999999999,1738924,8.634023401857572
Hop10Rep1-12,Hop10Rep1-12_random30_tdg_impact_w5,10,1,12,1024,random,30,0,307,45,tdg_impact_reroute,5,18957851,16059086,0.079914,0.002688,0.037119,0.197743,0.317464,944610.508143,899277.772461,10836,10836,16147775,0.005261,0.204989,0.21025,2810076,2898765,88689,0.5492335631379556,3.1561068099225786,0.4678220121046421,True,0.10721400000000003,0.031858,88689,0.5492335631379556
Hop10Rep1-13,Hop10Rep1-13_random30_tdg_impact_w15,10,1,13,1024,random,30,0,307,45,tdg_impact_reroute,15,14008382,11852399,0.060566,0.001953,0.035077,0.135374,0.23297,595187.85342,586555.364258,8541,8541,12268031,0.015086,0.14892,0.164006,1740351,2155983,415632,3.3879275329512946,23.882078959933946,2.9670236005842785,True,0.068964,0.019990999999999995,415632,3.3879275329512946
Hop10Rep1-14,Hop10Rep1-14_random30_tdg_impact_w30,10,1,14,1024,random,30,0,307,45,tdg_impact_reroute,30,19923136,15795942,0.078702,0.002473,0.028442,0.184383,0.294,949637.65798,938647.929688,10606,10606,16444810,0.00842,0.199262,0.207682,3478326,4127194,648868,3.945731206380615,18.654605692508408,3.2568567518687823,True,0.08631799999999998,0.020021999999999998,648868,3.945731206380615
Hop10Rep1-15,Hop10Rep1-15_random30_tdg_impact_w0,10,1,15,1024,random,30,0,307,45,tdg_impact_reroute,0,19115140,17281136,0.080533,0.002368,0.040161,0.216988,0.34005,921587.680782,923908.845703,10937,10937,17281136,0.006324,0.219639,0.225963,1834004,1834004,0,0.0,0.0,0.0,False,0.11408700000000002,0.033837000000000006,0,0.0
Hop10Rep1-16,Hop10Rep1-16_random30_tdg_impact_w5,10,1,16,1024,random,30,0,307,45,tdg_impact_reroute,5,15597648,13212757,0.069467,0.002362,0.028895,0.155318,0.256042,669479.371336,680319.885742,9939,9939,13270944,0.006459,0.164834,0.171293,2326704,2384891,58187,0.43845411449253346,2.5008337975092667,0.37304983418012766,True,0.08474899999999999,0.022436,58187,0.43845411449253346
Hop10Rep1-17,Hop10Rep1-17_random30_tdg_impact_w0,10,1,17,1024,random,30,0,307,45,tdg_impact_reroute,0,24413857,22443335,0.101277,0.003109,0.057788,0.311946,0.47412,1253789.90228,1206964.02539,13310,13310,22443335,0.012101,0.311014,0.323115,1970522,1970522,0,0.0,0.0,0.0,False,0.151005,0.045687,0,0.0
