run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec
Hop10Rep1-0_random30_tdg_impact_w0,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,0,27030182,24728907,0.11091,0.003442,0.070532,0.35162,0.536504,1306707.7329,1318447.57227,14795,14795,24728907,0.010075,0.362282,0.372357,2301275,2301275,0,0.0,0.0,0.0,False,0.164147,0.060457
Hop10Rep1-0_random30_tdg_impact_w100,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,100,27030182,25396621,0.11091,0.003442,0.041427,0.319292,0.475071,1306707.7329,1318447.57227,14795,14795,24728907,0.010075,0.362282,0.372357,2301275,1633561,-667714,-2.7001355134701264,-29.014959098760468,-2.4702534374352347,False,0.10271400000000003,0.031352
Hop10Rep1-0_random30_tdg_impact_w15,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,15,27030182,24641458,0.11091,0.003442,0.077407,0.342731,0.53449,1306707.7329,1318447.57227,14795,14795,24728907,0.010075,0.362282,0.372357,2301275,2388724,87449,0.3536306719904766,3.800023899794679,0.32352353380380494,True,0.16213300000000003,0.067332
Hop10Rep1-0_random30_tdg_impact_w30,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,30,27030182,24764626,0.11091,0.003442,0.054464,0.332609,0.501425,1306707.7329,1318447.57227,14795,14795,24728907,0.010075,0.362282,0.372357,2301275,2265556,-35719,-0.14444229176809148,-1.5521395748009255,-0.1321448742002551,False,0.12906800000000002,0.044389
Hop10Rep1-0_random30_tdg_impact_w5,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,5,27030182,24610151,0.11091,0.003442,0.075611,0.369505,0.559468,1306707.7329,1318447.57227,14795,14795,24728907,0.010075,0.362282,0.372357,2301275,2420031,118756,0.4802314958764656,5.160443667097587,0.43934591339414586,True,0.18711099999999997,0.065536
Hop10Rep1-0_random30_tdg_impact_w50,Hop10Rep1-0,10,1,0,1024,random,30,0,307,45,tdg_impact_reroute,50,27030182,24883411,0.11091,0.003442,0.049087,0.322476,0.485915,1306707.7329,1318447.57227,14795,14795,24728907,0.010075,0.362282,0.372357,2301275,2146771,-154504,-0.6247910593056134,-6.71384341289068,-0.5715980750703047,False,0.11355799999999999,0.039012
Hop10Rep1-1_random30_tdg_impact_w0,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,0,16105706,13453574,0.069652,0.00226,0.030732,0.167566,0.27021,685824.13355,673635.726562,9824,9824,13453574,0.005878,0.170723,0.176601,2652132,2652132,0,0.0,0.0,0.0,False,0.093609,0.024853999999999998
Hop10Rep1-1_random30_tdg_impact_w100,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,100,16105706,13690279,0.069652,0.00226,0.021608,0.156422,0.249942,685824.13355,673635.726562,9824,9824,13453574,0.005878,0.170723,0.176601,2652132,2415427,-236705,-1.7594209538669798,-8.925083668535352,-1.469696516253308,False,0.07334099999999999,0.015729999999999997
Hop10Rep1-1_random30_tdg_impact_w15,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,15,16105706,13054745,0.069652,0.00226,0.025551,0.157775,0.255238,685824.13355,673635.726562,9824,9824,13453574,0.005878,0.170723,0.176601,2652132,3050961,398829,2.9644836383253996,15.038052404631443,2.476321124947891,True,0.07863700000000001,0.019673
Hop10Rep1-1_random30_tdg_impact_w30,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,30,16105706,13115846,0.069652,0.00226,0.023874,0.156794,0.25258,685824.13355,673635.726562,9824,9824,13453574,0.005878,0.170723,0.176601,2652132,2989860,337728,2.5103217925586168,12.734207799611784,2.096946262399177,True,0.07597900000000002,0.017995999999999998
Hop10Rep1-1_random30_tdg_impact_w5,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,5,16105706,13171431,0.069652,0.00226,0.034137,0.16082,0.266869,685824.13355,673635.726562,9824,9824,13453574,0.005878,0.170723,0.176601,2652132,2934275,282143,2.097160204418543,10.638346809284002,1.7518201313248858,True,0.09026800000000001,0.028259
Hop10Rep1-1_random30_tdg_impact_w50,Hop10Rep1-1,10,1,1,1024,random,30,0,307,45,tdg_impact_reroute,50,16105706,13384714,0.069652,0.00226,0.021603,0.157522,0.251037,685824.13355,673635.726562,9824,9824,13453574,0.005878,0.170723,0.176601,2652132,2720992,68860,0.5118342531137079,2.596401687397158,0.4275503352662715,True,0.074436,0.015725
Hop10Rep1-2_random30_tdg_impact_w0,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,0,29257903,26900299,0.102912,0.002972,0.054144,0.386262,0.54629,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2357604,0,0.0,0.0,0.0,False,0.14205000000000007,0.047654999999999996
Hop10Rep1-2_random30_tdg_impact_w100,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,100,29257903,26732339,0.102912,0.002972,0.042292,0.362192,0.510368,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2525564,167960,0.6243796769693898,7.124182008513729,0.5740671161566159,True,0.10612800000000006,0.035803
Hop10Rep1-2_random30_tdg_impact_w15,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,15,29257903,26653359,0.102912,0.002972,0.052015,0.382894,0.540793,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2604544,246940,0.9179823614599971,10.474193291154918,0.8440112744922287,True,0.13655299999999998,0.045526
Hop10Rep1-2_random30_tdg_impact_w30,Hop10Rep1-2,10,1,2,1024,random,30,0,307,45,tdg_impact_reroute,30,29257903,26661653,0.102912,0.002972,0.052465,0.383724,0.542073,1690132.90554,1758360.03809,11883,11883,26900299,0.006489,0.397751,0.40424,2357604,2596250,238646,0.8871499904146047,10.122395448938839,0.8156633781990459,True,0.13783300000000004,0.045975999999999996
