run_id,dataset,hop,rep,seed,algorithm,query_count,iteration,selected_count,total_before,tdg_remaining_before,tdg_remaining_after_remove,random_remaining_before,random_remaining_after_remove,tdg_selected_score_sum,random_selected_score_sum,mean_selected_tdg_score,mean_random_tdg_score,mean_all_query_tdg_score,max_selected_tdg_score,max_random_tdg_score,max_all_query_tdg_score,tdg_node_count,tdg_route_arc_count,tdg_same_edge_arc_count,tdg_edge_timeline_count,tdg_max_out_degree,tdg_max_flow,tdg_mean_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio
Hop10Rep1-0_gamma0,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,0,27030182,27030182,27030182,27030182,27030182,0,0,0,0,8751804.17188,0,0,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
Hop10Rep1-0_gamma25,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,14,27030182,26581408,26496978,26691075,26541015,440188592,105546609,31442042.2857,7539043.5,8751804.17188,33375916,27521683,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
Hop10Rep1-0_gamma50,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,436,27030182,15023780,12717103,15519491,13420775,4022431932,3767079668,9225761.31193,8640090.98165,8751804.17188,33375916,32484954,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
Hop10Rep1-0_gamma75,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,692,27030182,8187014,6319536,8844855,6601055,6383097835,5954760907,9224129.81936,8605145.81936,8751804.17188,33375916,32484954,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
Hop10Rep1-0_gamma100,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,1024,0,1024,27030182,0,0,0,0,8961847472,8961847472,8751804.17188,8751804.17188,8751804.17188,33375916,33375916,33375916,14795,14167,14253,14795,6,150,30.9687732342,60,1.92561571548
Hop10Rep1-1_gamma0,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,0,0,16105706,16105706,16105706,16105706,16105706,0,0,0,0,2819443.85059,0,0,8605971,9824,9045,9421,9824,5,122,25.3088355049,5.80952380952,1.23666741637
Hop10Rep1-1_gamma25,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,0,213,16105706,12433726,10563616,12549464,11081833,650744685,633250780,3055139.3662,2973008.35681,2819443.85059,8605971,8103143,8605971,9824,9045,9421,9824,5,122,25.3088355049,5.80952380952,1.23666741637
Hop10Rep1-1_gamma50,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,0,435,16105706,8682395,6238414,9176269,6626305,1330294071,1209843686,3058147.28966,2781249.85287,2819443.85059,8605971,8453190,8605971,9824,9045,9421,9824,5,122,25.3088355049,5.80952380952,1.23666741637
Hop10Rep1-1_gamma75,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,0,700,16105706,4559311,2740512,4983662,3069630,2072072590,1964345621,2960103.7,2806208.03,2819443.85059,8605971,8453190,8605971,9824,9045,9421,9824,5,122,25.3088355049,5.80952380952,1.23666741637
Hop10Rep1-1_gamma100,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,1024,0,1024,16105706,0,0,0,0,2887110503,2887110503,2819443.85059,2819443.85059,2819443.85059,8605971,8605971,8605971,9824,9045,9421,9824,5,122,25.3088355049,5.80952380952,1.23666741637
Hop10Rep1-2_gamma0,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,0,0,29257903,29257903,29257903,29257903,29257903,0,0,0,0,13447436.7236,0,0,53296150,11883,11207,11485,11883,5,189,54.5180509972,32.2,4.51834263773
Hop10Rep1-2_gamma25,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,0,44,29257903,27197570,26805647,28080144,27174302,1846155804,504320845,41958086.4545,11461837.3864,13447436.7236,53296150,42464688,53296150,11883,11207,11485,11883,5,189,54.5180509972,32.2,4.51834263773
Hop10Rep1-2_gamma50,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,0,451,29257903,15298464,10840119,16317729,11571518,6449810943,6313021822,14301132.9113,13997831.0909,13447436.7236,53296150,53296150,53296150,11883,11207,11485,11883,5,189,54.5180509972,32.2,4.51834263773
Hop10Rep1-2_gamma75,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,0,714,29257903,7366723,3635654,8944988,4215537,10142884921,9758021999,14205721.1779,13666697.4776,13447436.7236,53296150,53296150,53296150,11883,11207,11485,11883,5,189,54.5180509972,32.2,4.51834263773
Hop10Rep1-2_gamma100,Hop10Rep1-2,10,1,2,tdg_selection_no_candidate_vs_random,1024,0,1024,29257903,0,0,0,0,13770175205,13770175205,13447436.7236,13447436.7236,13447436.7236,53296150,53296150,53296150,11883,11207,11485,11883,5,189,54.5180509972,32.2,4.51834263773
