run_id,dataset,hop,rep,seed,algorithm,removal_mode,query_count,lambda,gamma,theta_percentile,anchor_window,anchor_threshold,random_seed,selected_count,important_node_count,total_before,tdg_unselected_after_remove,random_unselected_after_remove,tdg_prepare_sec,tdg_select_sec,random_select_sec,mean_tdg_selected_impact_score,mean_random_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,tdg_max_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio
Hop10Rep1-0_gamma25_all_nodes,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,14,14795,27030182,26496978,26541015,0.108197,0.114569,9.4e-05,31442042.2857,7539043.5,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma25_congestion_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,521,1483,27030182,13601321,10811910,0.113206,0.213782,9.4e-05,5789305.34357,8558485.18234,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma25_anchor_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,217,4892,27030182,19627273,19910676,0.120797,0.16709,9.4e-05,9413319.33641,8245380.68203,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma50_all_nodes,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,436,14795,27030182,12717103,13420775,0.108192,0.223897,9.4e-05,9225761.31193,8640090.98165,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma50_congestion_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,668,1483,27030182,8542578,7119745,0.1132,0.255473,9.3e-05,7361157.65569,8621760.04042,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma50_anchor_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,452,4892,27030182,12240787,12973016,0.119171,0.22509,9.3e-05,9104105.24115,8620114.69027,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma75_all_nodes,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,75,90,1200,20,0,692,14795,27030182,6319536,6601055,0.108191,0.288736,9.3e-05,9224129.81936,8605145.81936,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma75_congestion_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,75,90,1200,20,0,835,1483,27030182,3604429,3540276,0.113164,0.303548,9.4e-05,8293897.28743,8654481.70898,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-0_gamma75_anchor_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,75,90,1200,20,0,714,4892,27030182,5787696,6108048,0.119155,0.292373,9.3e-05,9091817.85154,8646365.16387,8751804.17188,14795,14795,150,60,1.92561571548
Hop10Rep1-1_gamma25_all_nodes,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,213,9824,16105706,10563616,11081833,0.068164,0.099389,9.4e-05,3055139.3662,2973008.35681,2819443.85059,9824,9824,122,5.80952380952,1.23666741637
Hop10Rep1-1_gamma25_congestion_important,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,35,988,16105706,14724442,15190560,0.071383,0.078361,9.3e-05,7782209.91429,3310786.11429,2819443.85059,9824,9824,122,5.80952380952,1.23666741637
Hop10Rep1-1_gamma25_anchor_important,Hop10Rep1-1,10,1,1,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,227,3351,16105706,10521284,10710382,0.076416,0.099216,9.6e-05,2915089.36123,2967075.34802,2819443.85059,9824,9824,122,5.80952380952,1.23666741637
