dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,total_before,unselected_after_remove,reduction,select_sec,evaluate_remaining_sec
Hop10Rep1-0,10,1,0,1024,random,10,0,102,27030182,23597504,3432678,0.000114,0.398577
Hop10Rep1-0,10,1,0,1024,random,30,0,307,27030182,17047718,9982464,0.000172,0.254342
Hop10Rep1-0,10,1,0,1024,most_delayed,10,0,102,27030182,22685911,4344271,0.0004,0.376296
Hop10Rep1-0,10,1,0,1024,most_delayed,30,0,307,27030182,15461236,11568946,0.000446,0.241989
Hop10Rep1-1,10,1,1,1024,random,10,0,102,16105706,13652176,2453530,0.000113,0.212475
Hop10Rep1-1,10,1,1,1024,random,30,0,307,16105706,9093820,7011886,0.000168,0.133509
Hop10Rep1-1,10,1,1,1024,most_delayed,10,0,102,16105706,12462911,3642795,0.000391,0.187142
Hop10Rep1-1,10,1,1,1024,most_delayed,30,0,307,16105706,7656264,8449442,0.000439,0.109525
Hop10Rep1-2,10,1,2,1024,random,10,0,102,29257903,24686023,4571880,0.000113,0.497084
Hop10Rep1-2,10,1,2,1024,random,30,0,307,29257903,16774389,12483514,0.000172,0.269625
Hop10Rep1-2,10,1,2,1024,most_delayed,10,0,102,29257903,23229914,6027989,0.000414,0.434265
Hop10Rep1-2,10,1,2,1024,most_delayed,30,0,307,29257903,13843612,15414291,0.000447,0.21798
Hop10Rep1-3,10,1,3,1024,random,10,0,102,15903591,13830318,2073273,0.000115,0.224138
Hop10Rep1-3,10,1,3,1024,random,30,0,307,15903591,9510076,6393515,0.000169,0.136492
Hop10Rep1-3,10,1,3,1024,most_delayed,10,0,102,15903591,12192577,3711014,0.000411,0.193938
Hop10Rep1-3,10,1,3,1024,most_delayed,30,0,307,15903591,6913227,8990364,0.000453,0.087392
Hop10Rep1-4,10,1,4,1024,random,10,0,102,22706139,19435863,3270276,0.000115,0.250845
Hop10Rep1-4,10,1,4,1024,random,30,0,307,22706139,13222588,9483551,0.000169,0.150797
Hop10Rep1-4,10,1,4,1024,most_delayed,10,0,102,22706139,17800088,4906051,0.000413,0.227237
Hop10Rep1-4,10,1,4,1024,most_delayed,30,0,307,22706139,10425947,12280192,0.000462,0.125598
Hop10Rep1-5,10,1,5,1024,random,10,0,102,18340040,15051085,3288955,0.000129,0.255687
Hop10Rep1-5,10,1,5,1024,random,30,0,307,18340040,10494242,7845798,0.000168,0.160401
Hop10Rep1-5,10,1,5,1024,most_delayed,10,0,102,18340040,14352663,3987377,0.000404,0.230809
Hop10Rep1-5,10,1,5,1024,most_delayed,30,0,307,18340040,8685463,9654577,0.000454,0.129927
