hop,rep,gamma,removal_mode,selection_method,baseline_fraction,rows,win_rate,mean_value_vs_baseline,median_value_vs_baseline,mean_pct_vs_baseline_reduction,mean_pct_of_total_before,mean_tdg_selection_sec,mean_baseline_select_sec,mean_time_extra_vs_baseline_sec,mean_tdg_selected_fraction,mean_baseline_selected_fraction,avg_tt_win_rate,mean_avg_query_tt_value_vs_baseline,median_avg_query_tt_value_vs_baseline,mean_pct_avg_query_tt_vs_baseline,mean_tdg_remaining_avg_query_tt,mean_baseline_remaining_avg_query_tt
10,1,25,all_nodes,most_delayed,10,20,0.75,1225340.3,1957072.5,29.022514279850146,6.241080491456069,0.19669560000000003,0.00040545,0.19629015,0.168896484375,0.099609375,0.6,70.64815519344866,272.31520337922393,0.6124154824155157,18223.512799253404,18294.160954446856
10,1,25,all_nodes,most_delayed,30,20,0.0,-5092470.65,-3620682.5,-47.430374167044526,-23.78575946681071,0.19669560000000003,0.00044645,0.19624915,0.168896484375,0.2998046875,0.0,-3510.255546812681,-2894.713820651059,-24.581620562456653,18223.512799253404,14713.257252440724
10,1,25,all_nodes,random,10,20,0.85,2361486.5,3044755.0,76.61569205397734,11.839549364979076,0.19669560000000003,0.00011444999999999999,0.19658115,0.168896484375,0.099609375,0.85,1302.9108449982214,1384.4203602219213,7.173692617568163,18223.512799253404,19526.423644251627
10,1,25,all_nodes,random,30,20,0.0,-3295149.45,-2098134.0,-36.75429539798397,-15.051614342606479,0.19669560000000003,0.00016925,0.19652635000000002,0.168896484375,0.2998046875,0.0,-1003.531418500268,-663.1434774202062,-5.603230372451058,18223.512799253404,17219.98138075314
10,1,25,anchor_important,most_delayed,10,20,0.9,1993142.65,2187371.5,45.24804131209252,9.093998116474681,0.21165135,0.00040545,0.2112459,0.193310546875,0.099609375,0.7,294.17240760386505,339.5204998544896,1.3263566480011049,17999.98854684299,18294.160954446856
10,1,25,anchor_important,most_delayed,30,20,0.0,-4324668.3,-3667629.5,-41.18697631688885,-20.9328418417921,0.21165135,0.00044645,0.21120489999999997,0.193310546875,0.2998046875,0.0,-3286.7312944022647,-2917.863557968906,-23.75116647795388,17999.98854684299,14713.257252440724
10,1,25,anchor_important,random,10,20,0.95,3129288.85,3248150.0,97.84116417208148,14.692466989997689,0.21165135,0.00011444999999999999,0.21153689999999997,0.193310546875,0.099609375,0.95,1526.4350974086378,1469.1781128852444,7.864114099342319,17999.98854684299,19526.423644251627
10,1,25,anchor_important,random,30,20,0.0,-2527347.1,-2100485.5,-29.21516241027242,-12.198696717587866,0.21165135,0.00016925,0.2114821,0.193310546875,0.2998046875,0.05,-780.0071660898516,-535.7339838914331,-4.875567065811085,17999.98854684299,17219.98138075314
10,1,25,congestion_important,most_delayed,10,20,0.45,1761580.35,-633918.0,37.784570513821734,7.721716392061448,0.20459595,0.00040545,0.2041905,0.223193359375,0.099609375,0.25,-712.4769980782362,-1184.4734939977416,-4.014612038535865,19006.63795252509,18294.160954446856
10,1,25,congestion_important,most_delayed,30,20,0.25,-4556230.6,-5574364.5,-44.400606654614236,-22.305123566205335,0.20459595,0.00044645,0.20414949999999998,0.223193359375,0.2998046875,0.0,-4293.380700084365,-4390.392280547295,-30.329918130976836,19006.63795252509,14713.257252440724
10,1,25,congestion_important,random,10,20,0.55,2897726.55,341731.5,91.2966061732872,13.320185265584456,0.20459595,0.00011444999999999999,0.20448149999999998,0.223193359375,0.099609375,0.5,519.7856917265366,-13.78558783000517,2.8649836521702383,19006.63795252509,19526.423644251627
10,1,25,congestion_important,random,30,20,0.4,-2758909.4,-3919349.5,-32.24192667704421,-13.570978442001097,0.20459595,0.00016925,0.20442670000000002,0.223193359375,0.2998046875,0.1,-1786.6565717719527,-1748.4521926272064,-10.464380070688685,19006.63795252509,17219.98138075314
10,1,50,all_nodes,most_delayed,10,20,1.0,8340296.3,7726721.5,193.38378378416937,39.34692660722464,0.25077745,0.00040545,0.250372,0.431591796875,0.099609375,1.0,3609.3967365839026,3372.2683949379325,20.082776696755083,14684.764217862952,18294.160954446856
10,1,50,all_nodes,most_delayed,30,20,1.0,2022485.35,1920512.0,18.603151617062196,9.320086648957858,0.25077745,0.00044645,0.25033099999999997,0.431591796875,0.2998046875,0.5,28.493034577772686,-7.741846306615116,0.004338013072001723,14684.764217862952,14713.257252440724
10,1,50,all_nodes,random,10,20,1.0,9476442.5,8837174.5,303.2238599293979,44.94539548074765,0.25077745,0.00011444999999999999,0.25066299999999997,0.431591796875,0.099609375,1.0,4841.659426388675,4590.025444829474,25.33832987652614,14684.764217862952,19526.423644251627
10,1,50,all_nodes,random,30,20,1.0,3819806.55,3600127.5,43.286260363638036,18.054231773162094,0.25077745,0.00016925,0.2506082,0.431591796875,0.2998046875,1.0,2535.2171628901856,2343.8374217870223,15.16967641098174,14684.764217862952,17219.98138075314
10,1,50,anchor_important,most_delayed,10,20,1.0,8336601.8,8078019.5,192.89518872069874,39.06196281560815,0.2604835,0.00040545,0.26007805,0.432177734375,0.099609375,1.0,3589.167475772668,3419.224504742848,19.79325182675713,14704.993478674185,18294.160954446856
10,1,50,anchor_important,most_delayed,30,20,0.95,2018790.85,2181968.0,18.376971014445555,9.035122857341367,0.2604835,0.00044645,0.26003705,0.432177734375,0.2998046875,0.55,8.26377376653836,119.86155455625976,-0.4611587544221094,14704.993478674185,14713.257252440724
10,1,50,anchor_important,random,10,20,1.0,9472748.0,9147592.5,299.7245625601323,44.66043168913116,0.2604835,0.00011444999999999999,0.26036905,0.432177734375,0.099609375,1.0,4821.430165577441,4661.278918568491,25.11264064468501,14704.993478674185,19526.423644251627
10,1,50,anchor_important,random,30,20,0.95,3816112.05,3854993.0,42.43716166381373,17.769267981545603,0.2604835,0.00016925,0.26031425,0.432177734375,0.2998046875,1.0,2514.9879020789513,2453.9358541249067,14.916919751728482,14704.993478674185,17219.98138075314
10,1,50,congestion_important,most_delayed,10,20,0.95,10036293.4,10383180.0,232.80467526564695,48.03612389620795,0.26743675,0.00040545,0.2670313,0.58984375,0.099609375,0.95,2813.2711104819155,2408.8061621033885,15.447984861541348,15480.889843964938,18294.160954446856
10,1,50,congestion_important,most_delayed,30,20,0.9,3718482.45,4293526.0,34.972751849336596,18.009283937941166,0.26743675,0.00044645,0.2669903,0.58984375,0.2998046875,0.4,-767.6325915242139,-689.6074610406804,-5.790927639131084,15480.889843964938,14713.257252440724
10,1,50,congestion_important,random,10,20,0.95,11172439.6,11475704.5,358.5067106618174,53.63459276973096,0.26743675,0.00011444999999999999,0.2673223,0.58984375,0.099609375,1.0,4045.5338002866883,3596.5406496941687,21.03644673975012,15480.889843964938,19526.423644251627
10,1,50,congestion_important,random,30,20,0.9,5515803.65,6097904.5,63.09702729504686,26.743429062145402,0.26743675,0.00016925,0.2672675,0.58984375,0.2998046875,0.85,1739.091536788199,1524.5094638341789,10.34721274592232,15480.889843964938,17219.98138075314
10,1,75,all_nodes,most_delayed,10,20,1.0,13300401.95,12039385.0,308.1765122065202,62.57647843864157,0.3011842,0.00040545,0.30077875,0.688427734375,0.099609375,1.0,7109.456558375905,6268.795303622029,38.74699498437137,11184.70439607095,18294.160954446856
10,1,75,all_nodes,most_delayed,30,20,1.0,6982591.0,6291131.0,64.86711875547061,32.54963848037478,0.3011842,0.00044645,0.30073775,0.688427734375,0.2998046875,1.0,3528.5528563697744,3043.358321529252,23.538590255834194,11184.70439607095,14713.257252440724
10,1,75,all_nodes,random,10,20,1.0,14436548.15,13162157.0,461.2217703412515,68.17494731216458,0.3011842,0.00011444999999999999,0.30106975,0.688427734375,0.099609375,1.0,8341.719248180676,7598.514001730852,42.753008523310356,11184.70439607095,19526.423644251627
10,1,75,all_nodes,random,30,20,1.0,8779912.2,7907615.5,99.30836588249952,41.28378360457902,0.3011842,0.00016925,0.30101495,0.688427734375,0.2998046875,1.0,6035.2769846821875,5109.411702290849,34.99849986753071,11184.70439607095,17219.98138075314
10,1,75,anchor_important,most_delayed,10,20,1.0,13451782.25,12192678.0,312.0548174950466,63.37096251221011,0.3118759,0.00040545,0.31147045,0.700048828125,0.099609375,1.0,7198.98167487847,6383.851299104725,39.30820958638041,11095.179279568383,18294.160954446856
10,1,75,anchor_important,most_delayed,30,20,1.0,7133971.3,6435039.5,66.44794484515623,33.344122553943336,0.3118759,0.00044645,0.31142945,0.700048828125,0.2998046875,1.0,3618.0779728723405,3144.4112845265827,24.246722118195393,11095.179279568383,14713.257252440724
10,1,75,anchor_important,random,10,20,1.0,14587928.45,13315450.0,466.56436617306053,68.96943138573313,0.3118759,0.00011444999999999999,0.31176145,0.700048828125,0.099609375,1.0,8431.244364683243,7621.564490521677,43.27955354720835,11095.179279568383,19526.423644251627
10,1,75,anchor_important,random,30,20,1.0,8931292.5,8035145.5,101.21896646267118,42.07826767814757,0.3118759,0.00016925,0.31170665,0.700048828125,0.2998046875,1.0,6124.802101184754,5182.652444566952,35.600585201887945,11095.179279568383,17219.98138075314
10,1,75,congestion_important,most_delayed,10,20,1.0,14634626.3,13460660.5,340.2231607246589,69.05053969806886,0.3165245,0.00040545,0.31611905,0.8185546875,0.099609375,1.0,6468.85116013278,5633.261963587453,34.670519667300226,11825.309794314075,18294.160954446856
10,1,75,congestion_important,most_delayed,30,20,1.0,8316815.35,7754605.5,77.82162697805794,39.023699739802076,0.3165245,0.00044645,0.31607805,0.8185546875,0.2998046875,0.95,2887.9474581266513,2530.787233221361,18.27182551186164,11825.309794314075,14713.257252440724
10,1,75,congestion_important,random,10,20,1.0,15770772.5,14583432.5,505.1754066468153,74.64900857159186,0.3165245,0.00011444999999999999,0.31641005,0.8185546875,0.099609375,1.0,7701.113849937554,6687.347026564258,39.01658354790302,11825.309794314075,19526.423644251627
10,1,75,congestion_important,random,30,20,1.0,10114136.55,9128454.5,114.94300079195325,47.757844864006316,0.3165245,0.00016925,0.31635525000000003,0.8185546875,0.2998046875,1.0,5394.6715864390635,4707.084116327824,30.714437134970996,11825.309794314075,17219.98138075314
10,2,25,all_nodes,most_delayed,10,20,0.75,2754741.55,5397991.5,25.66453030710602,5.144200851079707,0.5044621499999999,0.00082965,0.5036324999999999,0.173095703125,0.099609375,0.4,-449.0181603146675,-130.04620966958282,-1.5639826034027462,25617.047254674755,25168.02909436009
10,2,25,all_nodes,most_delayed,30,20,0.0,-14309732.95,-11064223.0,-50.740045691762155,-24.75842599092621,0.5044621499999999,0.0009211,0.50354105,0.173095703125,0.2998046875,0.0,-5153.050636822592,-4846.418845581323,-25.675443671230347,25617.047254674755,20463.996617852164
10,2,25,all_nodes,random,10,20,0.75,6281791.2,8715339.5,86.94250265699957,11.40359016655656,0.5044621499999999,0.00021700000000000002,0.50424515,0.173095703125,0.099609375,0.85,1463.6985696202557,1971.5787980558398,5.744087946498033,25617.047254674755,27080.74582429501
10,2,25,all_nodes,random,30,20,0.0,-8653169.9,-5439080.5,-37.845833939607644,-14.797577360865784,0.5044621499999999,0.00030795,0.5041542000000001,0.173095703125,0.2998046875,0.0,-1208.4459994446295,-714.555900407604,-5.016781148805045,25617.047254674755,24408.601255230125
10,2,25,anchor_important,most_delayed,10,20,0.7,2569216.55,5939112.0,24.206573820905003,4.775927190475107,0.51823295,0.00082965,0.5174033,0.169775390625,0.099609375,0.5,-462.01268485918627,-74.74727489112047,-1.6344178680849513,25630.041779219275,25168.02909436009
10,2,25,anchor_important,most_delayed,30,20,0.0,-14495257.95,-10954248.0,-51.25882861965084,-25.12669965153081,0.51823295,0.0009211,0.51731185,0.169775390625,0.2998046875,0.0,-5166.045161367112,-4781.718734667051,-25.79444401979655,25630.041779219275,20463.996617852164
10,2,25,anchor_important,random,10,20,0.75,6096266.2,9138305.5,83.72899285801144,11.035316505951961,0.51823295,0.00021700000000000002,0.51801595,0.169775390625,0.099609375,0.9,1450.704045075737,1956.9795671169213,5.685937387838498,25630.041779219275,27080.74582429501
10,2,25,anchor_important,random,30,20,0.0,-8838694.9,-5524066.0,-38.9288560244356,-15.165851021470383,0.51823295,0.00030795,0.517925,0.169775390625,0.2998046875,0.0,-1221.4405239891482,-785.3450660706822,-5.075354004170345,25630.041779219275,24408.601255230125
10,2,25,congestion_important,most_delayed,10,20,0.3,-814553.75,-7949143.0,-6.312034729594894,-0.1463418048268937,0.4639177,0.00082965,0.46308805,0.163427734375,0.099609375,0.1,-1727.590206802835,-2147.198723794645,-6.618867716996386,26895.619301162922,25168.02909436009
