run_id,dataset,hop,rep,seed,algorithm,removal_mode,query_count,lambda,gamma,theta_percentile,anchor_window,anchor_threshold,random_seed,selected_count,important_node_count,total_before,tdg_unselected_after_remove,random_unselected_after_remove,tdg_prepare_sec,tdg_select_sec,random_select_sec,mean_tdg_selected_impact_score,mean_random_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,tdg_max_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio,tdg_selection_sec,tdg_selected_fraction,selection_method,baseline_fraction,random_seed_baseline,baseline_selected_count,baseline_unselected_after_remove,baseline_reduction,baseline_select_sec,baseline_evaluate_remaining_sec,baseline_selected_fraction,value_vs_baseline,pct_vs_baseline_reduction,pct_of_total_before,time_extra_vs_baseline_sec,tdg_better,tdg_remaining_count,baseline_remaining_count,tdg_remaining_avg_query_tt,baseline_remaining_avg_query_tt,avg_query_tt_value_vs_baseline,pct_avg_query_tt_vs_baseline,tdg_avg_query_tt_better
Hop10Rep1-0_gamma25_all_nodes,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,14,14795,27030182,26496978,26541015,0.108197,0.114569,9.4e-05,31442042.2857,7539043.5,8751804.17188,14795,14795,150,60.0,1.92561571548,0.22276600000000002,0.013671875,random,10,0,102,23597504,3432678,0.000114,0.398577,0.099609375,-2899474,-84.4668215311777,-10.726801617539978,0.22265200000000002,False,1010,922,26234.631683168318,25593.82212581345,-640.8095573548671,-2.5037665503995146,False
Hop10Rep1-0_gamma25_all_nodes,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,14,14795,27030182,26496978,26541015,0.108197,0.114569,9.4e-05,31442042.2857,7539043.5,8751804.17188,14795,14795,150,60.0,1.92561571548,0.22276600000000002,0.013671875,random,30,0,307,17047718,9982464,0.000172,0.254342,0.2998046875,-9449260,-94.65859330922706,-34.958181191676765,0.22259400000000001,False,1010,717,26234.631683168318,23776.45467224547,-2458.177010922849,-10.338702909279016,False
Hop10Rep1-0_gamma25_all_nodes,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,14,14795,27030182,26496978,26541015,0.108197,0.114569,9.4e-05,31442042.2857,7539043.5,8751804.17188,14795,14795,150,60.0,1.92561571548,0.22276600000000002,0.013671875,most_delayed,10,0,102,22685911,4344271,0.0004,0.376296,0.099609375,-3811067,-87.72627214094149,-14.099302032076588,0.222366,False,1010,922,26234.631683168318,24605.109544468545,-1629.5221386997728,-6.622698166633866,False
Hop10Rep1-0_gamma25_all_nodes,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,14,14795,27030182,26496978,26541015,0.108197,0.114569,9.4e-05,31442042.2857,7539043.5,8751804.17188,14795,14795,150,60.0,1.92561571548,0.22276600000000002,0.013671875,most_delayed,30,0,307,15461236,11568946,0.000446,0.241989,0.2998046875,-11035742,-95.39107538404969,-40.82747944501446,0.22232000000000002,False,1010,717,26234.631683168318,21563.7880055788,-4670.843677589517,-21.66058985731596,False
Hop10Rep1-0_gamma25_congestion_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,521,1483,27030182,13601321,10811910,0.113206,0.213782,9.4e-05,5789305.34357,8558485.18234,8751804.17188,14795,14795,150,60.0,1.92561571548,0.326988,0.5087890625,random,10,0,102,23597504,3432678,0.000114,0.398577,0.099609375,9996183,291.2065448608929,36.98156009456392,0.326874,True,503,922,27040.399602385685,25593.82212581345,-1446.5774765722344,-5.6520572404589915,False
Hop10Rep1-0_gamma25_congestion_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,521,1483,27030182,13601321,10811910,0.113206,0.213782,9.4e-05,5789305.34357,8558485.18234,8751804.17188,14795,14795,150,60.0,1.92561571548,0.326988,0.5087890625,random,30,0,307,17047718,9982464,0.000172,0.254342,0.2998046875,3446397,34.52451218456686,12.75018052042713,0.326816,True,503,717,27040.399602385685,23776.45467224547,-3263.9449301402165,-13.727635070632532,False
Hop10Rep1-0_gamma25_congestion_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,521,1483,27030182,13601321,10811910,0.113206,0.213782,9.4e-05,5789305.34357,8558485.18234,8751804.17188,14795,14795,150,60.0,1.92561571548,0.326988,0.5087890625,most_delayed,10,0,102,22685911,4344271,0.0004,0.376296,0.099609375,9084590,209.11655833625483,33.60905968002731,0.326588,True,503,922,27040.399602385685,24605.109544468545,-2435.29005791714,-9.897497320692139,False
Hop10Rep1-0_gamma25_congestion_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,521,1483,27030182,13601321,10811910,0.113206,0.213782,9.4e-05,5789305.34357,8558485.18234,8751804.17188,14795,14795,150,60.0,1.92561571548,0.326988,0.5087890625,most_delayed,30,0,307,15461236,11568946,0.000446,0.241989,0.2998046875,1859915,16.076788672019042,6.880882267089433,0.326542,True,503,717,27040.399602385685,21563.7880055788,-5476.611596806884,-25.397261350325007,False
Hop10Rep1-0_gamma25_anchor_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,217,4892,27030182,19627273,19910676,0.120797,0.16709,9.4e-05,9413319.33641,8245380.68203,8751804.17188,14795,14795,150,60.0,1.92561571548,0.287887,0.2119140625,random,10,0,102,23597504,3432678,0.000114,0.398577,0.099609375,3970231,115.65987255431473,14.68814009465419,0.287773,True,807,922,24321.280049566296,25593.82212581345,1272.542076247155,4.9720673605982935,True
Hop10Rep1-0_gamma25_anchor_important,Hop10Rep1-0,10,1,0,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,217,4892,27030182,19627273,19910676,0.120797,0.16709,9.4e-05,9413319.33641,8245380.68203,8751804.17188,14795,14795,150,60.0,1.92561571548,0.287887,0.2119140625,random,30,0,307,17047718,9982464,0.000172,0.254342,0.2998046875,-2579555,-25.840864540057446,-9.543239479482601,0.287715,False,807,717,24321.280049566296,23776.45467224547,-544.8253773208271,-2.2914491871523976,False
