gamma,removal_mode,selection_method,baseline_fraction,rows,win_rate,mean_value_vs_baseline,median_value_vs_baseline,mean_pct_vs_baseline_reduction,mean_pct_of_total_before,mean_tdg_selection_sec,mean_baseline_select_sec,mean_time_extra_vs_baseline_sec,mean_tdg_selected_fraction,mean_baseline_selected_fraction,avg_tt_win_rate,mean_avg_query_tt_value_vs_baseline,median_avg_query_tt_value_vs_baseline,mean_pct_avg_query_tt_vs_baseline,mean_tdg_remaining_avg_query_tt,mean_baseline_remaining_avg_query_tt
25,all_nodes,most_delayed,10,180,0.7166666666666667,6972895.527777778,5397991.5,28.529654364636638,4.833984562380837,1.6323558722222222,0.0009975333333333333,1.6313583388888888,0.15653483072916666,0.09969075520833333,0.5222222222222223,98.13467846477948,235.6048373056492,-0.27709390836943554,55653.27101104932,55751.4056895141
25,all_nodes,most_delayed,30,180,0.0,-35090590.666666664,-23468338.5,-51.356934249005825,-22.63482128206177,1.6323558722222222,0.0011069722222222223,1.6312489,0.15653483072916666,0.2998046875,0.0,-6787.528712893426,-5966.358164703681,-16.928940639028074,55653.27101104932,48865.7422981559
25,all_nodes,random,10,180,0.7666666666666667,11386405.844444444,7927342.0,62.464360293798606,8.412104550523232,1.6323558722222222,0.00025050555555555554,1.6321053666666667,0.15653483072916666,0.09969075520833333,0.8166666666666667,1916.1149163471187,1833.536812423653,3.8824230020226196,55653.27101104932,57569.38592739644
25,all_nodes,random,30,180,0.0,-27396488.194444444,-13734832.0,-44.12035091143606,-16.763643791276927,1.6323558722222222,0.00036703333333333333,1.631988838888889,0.15653483072916666,0.2998046875,0.016666666666666666,-2958.549484240086,-2298.7892606456116,-5.439964583489052,55653.27101104932,52694.72152680923
25,anchor_important,most_delayed,10,180,0.7277777777777777,7741657.916666667,6147491.5,33.58574604916895,5.598408603926633,1.6680440388888889,0.0009975333333333333,1.6670465055555557,0.1628390842013889,0.09969075520833333,0.5444444444444444,276.54272942558623,291.0112037148756,-0.009974210902021673,55474.86296008851,55751.4056895141
25,anchor_important,most_delayed,30,180,0.0,-34321828.277777776,-22431195.0,-49.47660445002366,-21.87039724051597,1.6680440388888889,0.0011069722222222223,1.6669370666666667,0.1628390842013889,0.2998046875,0.0,-6609.120661932619,-5935.379343875737,-16.6366047631793,55474.86296008851,48865.7422981559
25,anchor_important,random,10,180,0.7611111111111111,12155168.233333332,8881950.0,68.13183176346747,9.176528592069028,1.6680440388888889,0.00025050555555555554,1.6677935333333334,0.1628390842013889,0.09969075520833333,0.8222222222222222,2094.5229673079252,1943.8052393601083,4.145984877498132,55474.86296008851,57569.38592739644
25,anchor_important,random,30,180,0.0,-26627725.805555556,-14134608.0,-42.13533913535631,-15.99921974973113,1.6680440388888889,0.00036703333333333333,1.6676770055555556,0.1628390842013889,0.2998046875,0.03888888888888889,-2780.141433279279,-1999.3781665381503,-5.155442174244402,55474.86296008851,52694.72152680923
25,congestion_important,most_delayed,10,180,0.21666666666666667,-7765816.761111111,-8736070.5,-22.087001035230077,-3.236886292186784,1.4650810555555556,0.0009975333333333333,1.4640835222222222,0.10660264756944444,0.09969075520833333,0.12222222222222222,-2081.046052599283,-2236.815099823645,-4.278709070868393,57832.45174211338,55751.4056895141
25,congestion_important,most_delayed,30,180,0.06666666666666667,-49829302.95555556,-35327821.5,-70.1946880040549,-30.705692136629388,1.4650810555555556,0.0011069722222222223,1.4639740833333332,0.10660264756944444,0.2998046875,0.0,-8966.709443957488,-7789.461569273706,-21.653767402391853,57832.45174211338,48865.7422981559
25,congestion_important,random,10,180,0.2722222222222222,-3352306.4444444445,-4966798.0,1.331560048849768,0.34123369595561054,1.4650810555555556,0.00025050555555555554,1.4648305499999998,0.10660264756944444,0.09969075520833333,0.35,-263.06581471694403,-394.4205508112973,0.04935530578331937,57832.45174211338,57569.38592739644
25,congestion_important,random,30,180,0.10555555555555556,-42135200.483333334,-29822485.0,-65.09976373108222,-24.834514645844546,1.4650810555555556,0.00036703333333333333,1.4647140222222224,0.10660264756944444,0.2998046875,0.03333333333333333,-5137.730215304148,-3914.4376679683282,-9.710353638025884,57832.45174211338,52694.72152680923
50,all_nodes,most_delayed,10,180,0.9944444444444445,56487626.71111111,39618058.5,219.02621047437694,36.27889315644858,2.4162953166666665,0.0009975333333333333,2.4152977833333336,0.41219482421875,0.09969075520833333,0.9777777777777777,7391.706669759964,5894.470054001144,13.906529716466641,48359.69901975414,55751.4056895141
50,all_nodes,most_delayed,30,180,0.9777777777777777,14424140.516666668,8708711.5,20.172222761981097,8.810087312005978,2.4162953166666665,0.0011069722222222223,2.4151883444444446,0.41219482421875,0.2998046875,0.6222222222222222,506.04327840175847,370.73445446639107,-0.1614974271974973,48359.69901975414,48865.7422981559
50,all_nodes,random,10,180,0.9944444444444445,60901137.027777776,44493149.0,304.9679927193962,39.85701314459098,2.4162953166666665,0.00025050555555555554,2.416044811111111,0.41219482421875,0.09969075520833333,0.9944444444444445,9209.686907642303,7797.551309391836,17.429865018276686,48359.69901975414,57569.38592739644
50,all_nodes,random,30,180,0.9777777777777777,22118242.98888889,15431584.5,38.597093040378404,14.681264802790817,2.4162953166666665,0.00036703333333333333,2.4159282833333333,0.41219482421875,0.2998046875,0.9888888888888889,4335.022507055098,3753.472989007906,9.568723515697904,48359.69901975414,52694.72152680923
50,anchor_important,most_delayed,10,180,0.9888888888888889,58723672.75,41107417.5,228.77303692594586,37.777810588974134,2.4753207,0.0009975333333333333,2.4743231666666667,0.4268107096354167,0.09969075520833333,0.9666666666666667,7937.749846977077,6331.520688384186,14.633304149364605,47813.65584253702,55751.4056895141
50,anchor_important,most_delayed,30,180,0.9611111111111111,16660186.555555556,10076146.5,23.816878897074048,10.309004744531528,2.4753207,0.0011069722222222223,2.474213727777778,0.4268107096354167,0.2998046875,0.6555555555555556,1052.0864556188722,892.6448692772901,0.6554119115904633,47813.65584253702,48865.7422981559
50,anchor_important,random,10,180,0.9944444444444445,63137183.06666667,45696518.5,315.826269033972,41.355930577116524,2.4753207,0.00025050555555555554,2.475070194444444,0.4268107096354167,0.09969075520833333,0.9944444444444445,9755.730084859417,7806.039650611372,18.143117828896592,47813.65584253702,57569.38592739644
50,anchor_important,random,30,180,0.9611111111111111,24354289.027777776,17141885.5,42.418092966338996,16.180182235316366,2.4753207,0.00036703333333333333,2.474953666666667,0.4268107096354167,0.2998046875,0.9777777777777777,4881.065684272212,4202.149889841816,10.363045851706854,47813.65584253702,52694.72152680923
50,congestion_important,most_delayed,10,180,0.7944444444444444,38739043.30555555,19716518.5,168.83895769884847,28.750303672391297,2.1969702555555557,0.0009975333333333333,2.1959727222222223,0.38303087022569443,0.09969075520833333,0.7111111111111111,3993.6325335328356,2741.1898647507305,8.260787623327337,51757.77315598126,55751.4056895141
