dataset,hop,rep,seed,algorithm,query_count,iteration,total_travel_time,initial_total_travel_time,final_total_travel_time
Hop10Rep1-0,10,1,0,gro,1024,0,27030182,27030182,25137265
Hop10Rep1-0,10,1,0,gro,1024,1,25716996,27030182,25137265
Hop10Rep1-0,10,1,0,gro,1024,2,24939185,27030182,25137265
Hop10Rep1-0,10,1,0,gro,1024,3,25351434,27030182,25137265
Hop10Rep1-0,10,1,0,gro,1024,4,25162675,27030182,25137265
Hop10Rep1-0,10,1,0,gro,1024,5,25137265,27030182,25137265
Hop10Rep1-0,10,1,0,random_baseline,1024,0,27030182,27030182,23754056
Hop10Rep1-0,10,1,0,random_baseline,1024,1,24993242,27030182,23754056
Hop10Rep1-0,10,1,0,random_baseline,1024,2,24670364,27030182,23754056
Hop10Rep1-0,10,1,0,random_baseline,1024,3,24198287,27030182,23754056
Hop10Rep1-0,10,1,0,random_baseline,1024,4,23720010,27030182,23754056
Hop10Rep1-0,10,1,0,random_baseline,1024,5,23754056,27030182,23754056
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,0,27030182,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,1,25846646,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,2,24943171,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,3,24507313,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,4,24379854,27030182,24218096
Hop10Rep1-0,10,1,0,selection_td_baseline,1024,5,24218096,27030182,24218096
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,0,27030182,27030182,25339752
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,1,25705359,27030182,25339752
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,2,25281237,27030182,25339752
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,3,25405319,27030182,25339752
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,4,25526912,27030182,25339752
Hop10Rep1-0,10,1,0,normal_selection_gro_reroute,1024,5,25339752,27030182,25339752
