hop,rep,algorithm,iteration,seed_count,mean_total_travel_time
10,1,baseline,0,20,21129199.05
10,1,baseline,1,20,18173719.0
10,1,baseline,2,20,16690857.2
10,1,baseline,3,20,16132656.15
10,1,baseline,4,20,15728332.9
10,1,baseline,5,20,15729167.35
10,1,tdg,0,20,21129199.05
10,1,tdg,1,20,19302788.2
10,1,tdg,2,20,18159184.65
10,1,tdg,3,20,17372549.7
10,1,tdg,4,20,16853024.25
10,1,tdg,5,20,16485420.9
10,1,tdg_reroute_baseline,0,20,21129199.05
10,1,tdg_reroute_baseline,1,20,18145617.6
10,1,tdg_reroute_baseline,2,20,16929902.85
10,1,tdg_reroute_baseline,3,20,16530981.2
10,1,tdg_reroute_baseline,4,20,16293328.4
10,1,tdg_reroute_baseline,5,20,16153963.75
10,1,tdg_selection_baseline,0,20,21129199.05
10,1,tdg_selection_baseline,1,20,19488419.55
10,1,tdg_selection_baseline,2,20,18316680.15
10,1,tdg_selection_baseline,3,20,17458951.95
10,1,tdg_selection_baseline,4,20,17046394.1
10,1,tdg_selection_baseline,5,20,16641825.95
10,2,baseline,0,20,57364637.35
10,2,baseline,1,20,50974852.45
10,2,baseline,2,20,47491905.65
10,2,baseline,3,20,45349000.6
10,2,baseline,4,20,44109469.9
10,2,baseline,5,20,43706965.0
10,2,tdg,0,20,57364637.35
10,2,tdg,1,20,54167981.45
10,2,tdg,2,20,51723287.85
10,2,tdg,3,20,49349191.5
10,2,tdg,4,20,47485419.1
10,2,tdg,5,20,46562097.55
10,2,tdg_reroute_baseline,0,20,57364637.35
10,2,tdg_reroute_baseline,1,20,51708961.0
10,2,tdg_reroute_baseline,2,20,48128381.6
10,2,tdg_reroute_baseline,3,20,45867697.6
10,2,tdg_reroute_baseline,4,20,45068471.3
10,2,tdg_reroute_baseline,5,20,44545300.35
10,2,tdg_selection_baseline,0,20,57364637.35
10,2,tdg_selection_baseline,1,20,54258930.4
10,2,tdg_selection_baseline,2,20,51631981.9
10,2,tdg_selection_baseline,3,20,49594411.35
10,2,tdg_selection_baseline,4,20,48206999.65
10,2,tdg_selection_baseline,5,20,47253217.7
10,4,baseline,0,20,134216146.0
10,4,baseline,1,20,128475887.25
10,4,baseline,2,20,124841880.15
10,4,baseline,3,20,121320455.05
10,4,baseline,4,20,117854826.75
10,4,baseline,5,20,115653879.85
10,4,tdg,0,20,134216146.0
10,4,tdg,1,20,131931820.95
10,4,tdg,2,20,130264461.95
10,4,tdg,3,20,129607941.5
10,4,tdg,4,20,128470322.55
10,4,tdg,5,20,127833201.85
10,4,tdg_reroute_baseline,0,20,134216146.0
10,4,tdg_reroute_baseline,1,20,135234380.35
10,4,tdg_reroute_baseline,2,20,133621198.0
10,4,tdg_reroute_baseline,3,20,130230757.7
10,4,tdg_reroute_baseline,4,20,125702502.95
10,4,tdg_reroute_baseline,5,20,124834994.5
10,4,tdg_selection_baseline,0,20,134216146.0
10,4,tdg_selection_baseline,1,20,131885874.3
10,4,tdg_selection_baseline,2,20,129706888.75
