algorithm,dataset,hop,rep,seed,label,iteration,total_travel_time
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,0,27030182
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,1,25716996
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,2,24939185
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,3,25351434
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,4,25162675
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,5,25137265
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,6,25006055
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,7,25298105
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,8,25107655
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,9,25175104
gro,Hop10Rep1-0,10,1,0,TOTAL_TRAVEL_TIME,10,25138023
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,0,66208060
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,1,67259189
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,2,63180680
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,3,63643757
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,4,62865049
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,5,62457298
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,6,62650212
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,7,62493308
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,8,61875383
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,9,62201351
gro,Hop10Rep2-0,10,2,0,TOTAL_TRAVEL_TIME,10,61885295
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,0,162588845
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,1,174441733
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,2,179242026
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,3,179271538
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,4,174417402
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,5,174761332
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,6,171480951
gro,Hop10Rep4-0,10,4,0,TOTAL_TRAVEL_TIME,7,170611226
