algorithm,dataset,hop,rep,seed,label,iteration,query_count,time_sec,size,candidate_count,candidate_sec,selected_count,select_impact_sec,select_rank_sec,select_scan_sec,select_remove_sec,select_total_sec,batch_count,batch_queries_sec,reroute_query_count,reroute_query_sec,insert_trajectory_sec,reroute_total_sec,initial_routes_sec,reroute_count,total_travel_time,evaluate_sec,reroute_sec,iteration_sec,run_sec
gro,Hop10Rep1-0,10,1,0,INITIAL_ROUTES,-1,1024,0.127602,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,0,1024,0.487402,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,0,,0.088695,14795,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,0,,0.045560,14795,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,0,,,,300,0.028720,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,0,,,,300,,146,0.089859,0.001844,0.051225,0.050096,0.159005,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,0,,,,,,146,,,,,,28,0.046691,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,0,,,,,,,,,,,,,,146,0.058082,0.006820,0.081829,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,0,,0.947669,,,,146,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,1,1024,0.518641,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,1,,0.086662,16799,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,1,,0.050487,16799,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,1,,,,430,0.030865,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,1,,,,430,,201,0.099631,0.002081,0.055025,0.053707,0.174342,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,1,,,,,,201,,,,,,24,0.040264,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,1,,,,,,,,,,,,,,201,0.083415,0.014685,0.126928,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,1,,1.039145,,,,201,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,2,1024,0.426841,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,2,,0.083092,18436,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,2,,0.054556,18436,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,2,,,,544,0.033005,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,2,,,,544,,255,0.109571,0.002141,0.051443,0.049968,0.182524,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,2,,,,,,255,,,,,,24,0.028972,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,2,,,,,,,,,,,,,,255,0.090853,0.022463,0.132785,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,2,,0.953781,,,,255,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,3,1024,0.418670,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,3,,0.088288,20135,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,IMPACT,3,,0.060205,20135,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,CANDIDATE,3,,,,442,0.037589,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,SELECT,3,,,,442,,215,0.118405,0.001684,0.041190,0.039946,0.181989,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,BATCH,3,,,,,,215,,,,,,18,0.024581,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,REROUTE,3,,,,,,,,,,,,,,215,0.076336,0.022075,0.118789,,,,,,,
gro,Hop10Rep1-0,10,1,0,ITERATION,3,,0.942659,,,,215,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,EVALUATE,4,1024,0.394475,,,,,,,,,,,,,,,,,,,,,,
gro,Hop10Rep1-0,10,1,0,TDG,4,,0.085324,20519,,,,,,,,,,,,,,,,,,,,,
