method,dataset,hop,rep,seed,iteration,total_travel_time,candidate_count,selected_count,reroute_count,batch_count,evaluate_sec,candidate_sec,select_sec,batch_sec,reroute_sec,iteration_sec,run_sec
gro,Hop10Rep1-0,10,1,0,-1,25138023,,,,,,,,,,,9.685320
gro,Hop10Rep1-0,10,1,0,0,27030182,300,146,146,28,,0.028027,0.159545,0.046909,0.075692,,
gro,Hop10Rep1-0,10,1,0,1,25716996,430,201,201,24,,0.030841,0.200188,0.040739,0.107461,,
gro,Hop10Rep1-0,10,1,0,2,24939185,544,255,255,24,,0.033635,0.181942,0.028448,0.127220,,
gro,Hop10Rep1-0,10,1,0,3,25351434,442,215,215,18,,0.036635,0.180917,0.024800,0.124018,,
gro,Hop10Rep1-0,10,1,0,4,25162675,312,150,150,23,,0.037553,0.170190,0.026828,0.097087,,
gro,Hop10Rep1-0,10,1,0,5,25137265,291,142,142,16,,0.038886,0.172959,0.017671,0.096519,,
gro,Hop10Rep1-0,10,1,0,6,25006055,283,136,136,18,,0.035758,0.162845,0.023509,0.093554,,
gro,Hop10Rep1-0,10,1,0,7,25298105,265,131,131,16,,0.035985,0.161943,0.017987,0.086501,,
gro,Hop10Rep1-0,10,1,0,8,25107655,275,136,136,16,,0.036510,0.165679,0.027694,0.095598,,
gro,Hop10Rep1-0,10,1,0,9,25175104,261,127,127,16,,0.035728,0.162413,0.020610,0.087839,,
gro_baseline,Hop10Rep1-0,10,1,0,-1,23603106,,,,,,,,,,,6.165664
gro_baseline,Hop10Rep1-0,10,1,0,0,27030182,,307,307,,0.485367,,,,0.065901,0.551494,
gro_baseline,Hop10Rep1-0,10,1,0,1,24918250,,307,307,,0.529126,,,,0.061621,0.590970,
gro_baseline,Hop10Rep1-0,10,1,0,2,24571371,,307,307,,0.490710,,,,0.067372,0.558461,
gro_baseline,Hop10Rep1-0,10,1,0,3,24339355,,307,307,,0.513431,,,,0.063483,0.577153,
gro_baseline,Hop10Rep1-0,10,1,0,4,23986013,,307,307,,0.480622,,,,0.057473,0.538326,
gro_baseline,Hop10Rep1-0,10,1,0,5,23982512,,307,307,,0.487475,,,,0.069656,0.557342,
gro_baseline,Hop10Rep1-0,10,1,0,6,23899534,,307,307,,0.479332,,,,0.061743,0.541287,
gro_baseline,Hop10Rep1-0,10,1,0,7,23916524,,307,307,,0.476214,,,,0.058344,0.534784,
gro_baseline,Hop10Rep1-0,10,1,0,8,23993418,,307,307,,0.485956,,,,0.063224,0.549419,
gro_baseline,Hop10Rep1-0,10,1,0,9,23622102,,307,307,,0.489822,,,,0.060114,0.550147,
gro,Hop10Rep2-0,10,2,0,-1,61885295,,,,,,,,,,,25.988533
gro,Hop10Rep2-0,10,2,0,0,66208060,642,318,318,67,,0.059644,0.387010,0.283381,0.206355,,
gro,Hop10Rep2-0,10,2,0,1,67259189,969,458,458,39,,0.068936,0.446390,0.157314,0.244532,,
gro,Hop10Rep2-0,10,2,0,2,63180680,854,402,402,28,,0.077273,0.418142,0.073017,0.232273,,
gro,Hop10Rep2-0,10,2,0,3,63643757,858,407,407,49,,0.081719,0.438151,0.083576,0.297264,,
gro,Hop10Rep2-0,10,2,0,4,62865049,702,342,342,37,,0.083153,0.415897,0.087383,0.244162,,
gro,Hop10Rep2-0,10,2,0,5,62457298,770,354,354,34,,0.082538,0.422399,0.093195,0.278743,,
gro,Hop10Rep2-0,10,2,0,6,62650212,617,294,294,35,,0.081010,0.385330,0.066357,0.234344,,
gro,Hop10Rep2-0,10,2,0,7,62493308,661,305,305,34,,0.082227,0.395624,0.072306,0.241637,,
gro,Hop10Rep2-0,10,2,0,8,61875383,610,290,290,34,,0.083670,0.390948,0.057928,0.230092,,
gro,Hop10Rep2-0,10,2,0,9,62201351,522,243,243,30,,0.080736,0.371034,0.060420,0.210500,,
gro_baseline,Hop10Rep2-0,10,2,0,-1,57889363,,,,,,,,,,,16.794741
gro_baseline,Hop10Rep2-0,10,2,0,0,66208060,,614,614,,1.479315,,,,0.113204,1.592990,
gro_baseline,Hop10Rep2-0,10,2,0,1,61227182,,614,614,,1.484223,,,,0.121209,1.605877,
gro_baseline,Hop10Rep2-0,10,2,0,2,60776489,,614,614,,1.407743,,,,0.124091,1.532286,
gro_baseline,Hop10Rep2-0,10,2,0,3,59509539,,614,614,,1.370957,,,,0.111163,1.482583,
gro_baseline,Hop10Rep2-0,10,2,0,4,58638116,,614,614,,1.347951,,,,0.118753,1.467148,
gro_baseline,Hop10Rep2-0,10,2,0,5,57753075,,614,614,,1.361282,,,,0.119667,1.481379,
gro_baseline,Hop10Rep2-0,10,2,0,6,59353711,,614,614,,1.348675,,,,0.127492,1.476599,
gro_baseline,Hop10Rep2-0,10,2,0,7,58994119,,614,614,,1.334888,,,,0.119613,1.454979,
gro_baseline,Hop10Rep2-0,10,2,0,8,58609954,,614,614,,1.367137,,,,0.126121,1.493687,
gro_baseline,Hop10Rep2-0,10,2,0,9,58125343,,614,614,,1.347642,,,,0.121168,1.469268,
gro,Hop10Rep4-0,10,4,0,-1,161248977,,,,,,,,,,,73.294226
gro,Hop10Rep4-0,10,4,0,0,162588845,1635,436,436,158,,0.104513,0.677558,1.545460,0.372865,,
gro,Hop10Rep4-0,10,4,0,1,174441733,1478,377,377,91,,0.139155,0.752498,0.513314,0.292804,,
gro,Hop10Rep4-0,10,4,0,2,179242026,1497,716,716,58,,0.167095,1.061859,0.304305,0.494406,,
gro,Hop10Rep4-0,10,4,0,3,179271538,1538,721,721,42,,0.197227,1.119784,0.337804,0.660045,,
gro,Hop10Rep4-0,10,4,0,4,174417402,1653,742,742,52,,0.208344,1.181966,0.381565,0.578986,,
gro,Hop10Rep4-0,10,4,0,5,174761332,1499,700,700,51,,0.217697,1.214996,0.459233,0.610356,,
gro,Hop10Rep4-0,10,4,0,6,171480951,1335,630,630,50,,0.206577,1.174162,0.342435,0.580999,,
gro,Hop10Rep4-0,10,4,0,7,170611226,1225,563,563,51,,0.205913,1.073773,0.373280,0.532234,,
gro,Hop10Rep4-0,10,4,0,8,164631993,955,455,455,33,,0.205932,0.980030,0.222372,0.495428,,
gro,Hop10Rep4-0,10,4,0,9,164011887,1143,536,536,39,,0.200532,1.069930,0.248908,0.573145,,
gro_baseline,Hop10Rep4-0,10,4,0,-1,139824881,,,,,,,,,,,46.115799
gro_baseline,Hop10Rep4-0,10,4,0,0,162588845,,1228,1228,,3.570838,,,,0.257475,3.829205,
gro_baseline,Hop10Rep4-0,10,4,0,1,152989955,,1228,1228,,4.266313,,,,0.267399,4.534665,
gro_baseline,Hop10Rep4-0,10,4,0,2,149789710,,1228,1228,,4.392238,,,,0.251476,4.644570,
gro_baseline,Hop10Rep4-0,10,4,0,3,142542582,,1228,1228,,3.988954,,,,0.248091,4.237956,
gro_baseline,Hop10Rep4-0,10,4,0,4,145030936,,1228,1228,,3.963115,,,,0.277173,4.242012,
gro_baseline,Hop10Rep4-0,10,4,0,5,144628936,,1228,1228,,3.864511,,,,0.248375,4.113739,
gro_baseline,Hop10Rep4-0,10,4,0,6,143909413,,1228,1228,,3.984560,,,,0.237045,4.222481,
gro_baseline,Hop10Rep4-0,10,4,0,7,139670551,,1228,1228,,3.846487,,,,0.224793,4.072160,
gro_baseline,Hop10Rep4-0,10,4,0,8,139665210,,1228,1228,,3.757738,,,,0.236274,3.994844,
gro_baseline,Hop10Rep4-0,10,4,0,9,138797995,,1228,1228,,3.710274,,,,0.234510,3.945666,
gro,Hop20Rep1-0,20,1,0,-1,50094240,,,,,,,,,,,21.983721
gro,Hop20Rep1-0,20,1,0,0,61370530,234,115,115,43,,0.052131,0.343089,0.152979,0.106868,,
gro,Hop20Rep1-0,20,1,0,1,56859628,201,95,95,33,,0.049806,0.282502,0.106033,0.097057,,
gro,Hop20Rep1-0,20,1,0,2,54729834,189,88,88,26,,0.051754,0.249855,0.062382,0.089767,,
gro,Hop20Rep1-0,20,1,0,3,53531270,179,85,85,21,,0.052122,0.243064,0.050557,0.082427,,
gro,Hop20Rep1-0,20,1,0,4,52497740,311,138,138,31,,0.052762,0.264181,0.055881,0.122631,,
